Predicted duration,1.5,,,
Predicted error,0.8,,,
Predicted start,08:37:31,,,
Notes,none,,,
FrameNum,timeInfo,signal-target,signal-track1,signal-track2
0,[08:34:30.8154153],19875,670333,864880
1,[08:34:31.1658993],18934,674509,779477
2,[08:34:31.5163778],18086,663007,849621
3,[08:34:31.8668562],10719,658638,822344
4,[08:34:32.2173403],23361,668645,803677
5,[08:34:32.5678187],7554,659433,806201
6,[08:34:32.9182972],7926,681792,803307
7,[08:34:33.2687811],22918,685129,840361
8,[08:34:33.6192595],20646,649064,819725
9,[08:34:33.9697380],21092,694445,857586
10,[08:34:34.3202220],14064,662108,804895
11,[08:34:34.6707005],16921,659760,845991
12,[08:34:35.0211844],12263,706386,799985
13,[08:34:35.3716629],16781,727006,824455
14,[08:34:35.7221413],17800,662985,782892
15,[08:34:36.0725697],12349,656691,807136
16,[08:34:36.4230481],17499,599093,818725
17,[08:34:36.7735266],22169,694726,811975
18,[08:34:37.1240662],20615,662927,838605
19,[08:34:37.4745446],22981,689022,841011
20,[08:34:37.8250231],16293,700921,804050
21,[08:34:38.1755071],15508,695585,828957
22,[08:34:38.5259856],23032,696343,799196
23,[08:34:38.8764640],16033,680203,800018
24,[08:34:39.2269480],17319,686303,843709
25,[08:34:39.5774264],8849,698243,809256
26,[08:34:39.9279049],17741,685576,829013
27,[08:34:40.2783888],22180,684042,788991
28,[08:34:40.6288673],24204,674809,849712
29,[08:34:40.9793457],24086,681667,788140
30,[08:34:41.3298298],17215,702354,820101
31,[08:34:41.6803082],14578,672897,850551
32,[08:34:42.0307922],13755,706527,804917
33,[08:34:42.3812706],12602,683074,789743
34,[08:34:42.7317490],11435,691359,806846
35,[08:34:43.0822331],20257,665001,801041
36,[08:34:43.4327115],18037,692567,786438
37,[08:34:43.7831900],27898,686105,820990
38,[08:34:44.1336739],15528,668390,858332
39,[08:34:44.4841524],20537,668213,835570
40,[08:34:44.8346308],28418,688423,846954
41,[08:34:45.1851149],17034,671366,824773
42,[08:34:45.5355933],17814,690873,751570
43,[08:34:45.8860718],15821,651831,818034
44,[08:34:46.2365557],15462,687377,772368
45,[08:34:46.5870342],18226,679352,816086
46,[08:34:46.9375126],17989,662601,879745
47,[08:34:47.2879966],10515,671456,819539
48,[08:34:47.6384750],16915,678005,806937
49,[08:34:47.9889535],10881,703169,774042
50,[08:34:48.3394374],11524,687176,789860
51,[08:34:48.6899159],12455,694854,830168
52,[08:34:49.0403999],20852,666969,832808
53,[08:34:49.3908784],10436,657462,818354
54,[08:34:49.7413568],17833,667800,811943
55,[08:34:50.0918408],12900,662645,821265
56,[08:34:50.4423192],15677,702763,842642
57,[08:34:50.7927977],12760,672154,793266
58,[08:34:51.1432816],15404,679325,863329
59,[08:34:51.4937601],19640,624333,790675
60,[08:34:51.8442385],10986,719461,824330
61,[08:34:52.1947226],24498,679637,875106
62,[08:34:52.5452010],16132,659895,783903
63,[08:34:52.8956795],16358,677679,805031
64,[08:34:53.2461634],12225,682769,832423
65,[08:34:53.5966419],22585,683618,810070
66,[08:34:53.9471203],10283,672097,803157
67,[08:34:54.2976043],18916,651996,832249
68,[08:34:54.6480827],14517,697963,790166
69,[08:34:54.9985612],13420,663076,848245
70,[08:34:55.3490451],19542,631867,822774
71,[08:34:55.6995236],10267,669510,794041
72,[08:34:56.0500076],18983,693596,808830
73,[08:34:56.4004861],7797,647591,806296
74,[08:34:56.7509645],14046,695485,816373
75,[08:34:57.1014485],16388,668069,839472
76,[08:34:57.4519269],10253,706260,782241
77,[08:34:57.8024054],12642,712895,816045
78,[08:34:58.1528893],22574,667137,801028
79,[08:34:58.5033678],12929,641003,799845
80,[08:34:58.8538463],19454,655970,818081
81,[08:34:59.2043302],11080,680655,807906
82,[08:34:59.5548087],6456,686682,787620
83,[08:34:59.9052871],15288,681461,822160
84,[08:35:00.2557711],-3891,679325,810313
85,[08:35:00.6062495],21119,704682,812192
86,[08:35:00.9567280],18542,729340,787223
87,[08:35:01.3072120],9141,711695,791493
88,[08:35:01.6576905],20475,706623,829102
89,[08:35:02.0081744],19425,683523,807559
90,[08:35:02.3586529],16737,707466,787152
91,[08:35:02.7091313],11607,693089,837774
92,[08:35:03.0596153],19204,643606,861167
93,[08:35:03.4100938],21445,667998,823859
94,[08:35:03.7605722],15272,640104,834591
95,[08:35:04.1110562],16658,655623,805252
96,[08:35:04.4615346],14364,690659,769399
97,[08:35:04.8120131],17743,653638,823611
98,[08:35:05.1624971],11560,654828,832159
99,[08:35:05.5129755],16283,688809,805064
100,[08:35:05.8634540],12769,741127,811819
101,[08:35:06.2139379],14705,704828,847662
102,[08:35:06.5644164],18304,670428,827896
103,[08:35:06.9148949],14675,685943,785192
104,[08:35:07.2653788],26381,654600,778079
105,[08:35:07.6158573],16140,657759,825377
106,[08:35:07.9663357],19725,686640,846934
107,[08:35:08.3168197],5756,649349,781285
108,[08:35:08.6672982],22596,702842,819617
109,[08:35:09.0177821],9084,653171,793714
110,[08:35:09.3682606],15367,663134,842731
111,[08:35:09.7187390],8959,675759,801637
112,[08:35:10.0692230],17412,686107,791770
113,[08:35:10.4197015],6124,675045,811932
114,[08:35:10.7701799],17326,694163,815794
115,[08:35:11.1206639],16739,675039,794225
116,[08:35:11.4711423],17429,660494,811621
117,[08:35:11.8216208],2976,643768,846280
118,[08:35:12.1721048],11042,698868,799702
119,[08:35:12.5225832],16056,705169,790258
120,[08:35:12.8730617],9608,684734,782438
121,[08:35:13.2235457],14356,703202,804160
122,[08:35:13.5740241],16189,697629,836561
123,[08:35:13.9245026],23217,675495,841770
124,[08:35:14.2749865],29275,706082,822136
125,[08:35:14.6254650],8650,695267,794517
126,[08:35:14.9759435],11475,659123,813869
127,[08:35:15.3264274],19808,678479,831202
128,[08:35:15.6769059],21830,686116,828879
129,[08:35:16.0273899],25808,682293,822006
130,[08:35:16.3778683],15332,688728,774640
131,[08:35:16.7283468],17855,673840,830581
132,[08:35:17.0788308],22047,680004,823172
133,[08:35:17.4293092],10484,675622,854979
134,[08:35:17.7797877],22996,673668,829946
135,[08:35:18.1302716],18594,670990,823502
136,[08:35:18.4807501],20133,655321,806146
137,[08:35:18.8312286],15968,662266,833883
138,[08:35:19.1817125],21374,686849,832392
139,[08:35:19.5321910],15887,646223,822024
140,[08:35:19.8826695],10056,682563,792282
141,[08:35:20.2331534],14508,665356,852192
142,[08:35:20.5836319],18732,654047,775957
143,[08:35:20.9341104],12506,698782,795025
144,[08:35:21.2845943],9887,660628,810823
