Predicted duration,0.3,,,
Predicted error,0.2,,,
Predicted start,01:56:11,,,
Notes,none,,,
FrameNum,timeInfo,signal-target,signal-track1,signal-track2
0,[01:54:11.1150268],19116,219417,575532
1,[01:54:11.1452336],22892,218005,525298
2,[01:54:11.1754405],21672,259197,544373
3,[01:54:11.2056474],19226,241341,570278
4,[01:54:11.2358543],25213,221762,519288
5,[01:54:11.2660612],20746,229193,556819
6,[01:54:11.2962681],23356,228968,544859
7,[01:54:11.3264750],17692,232090,503826
8,[01:54:11.3566818],17772,248765,582098
9,[01:54:11.3868887],21615,242238,600670
10,[01:54:11.4170956],19713,232957,541126
11,[01:54:11.4473025],28207,279258,521532
12,[01:54:11.4775094],22053,263459,545398
13,[01:54:11.5077163],28921,290276,605351
14,[01:54:11.5379231],17519,331865,568617
15,[01:54:11.5681300],21895,317385,542477
16,[01:54:11.5983369],27746,268101,592366
17,[01:54:11.6285438],21974,263375,618060
18,[01:54:11.6587507],27755,227733,579918
19,[01:54:11.6889576],19424,241409,491515
20,[01:54:11.7191644],23900,280146,571738
21,[01:54:11.7493713],16763,316772,548253
22,[01:54:11.7795782],19705,278441,482538
23,[01:54:11.8097851],22263,265654,538063
24,[01:54:11.8399920],26285,265277,586149
25,[01:54:11.8701989],18230,304884,529429
26,[01:54:11.9004057],22991,282737,502824
27,[01:54:11.9306126],17260,244157,504150
28,[01:54:11.9608195],23688,256065,577987
29,[01:54:11.9910264],27347,262566,558590
30,[01:54:12.0212388],21727,225446,550401
31,[01:54:12.0514457],19208,256460,532136
32,[01:54:12.0816525],23709,270089,453842
33,[01:54:12.1118594],25952,225398,519900
34,[01:54:12.1420663],25434,235779,504273
35,[01:54:12.1722732],21268,267202,566085
36,[01:54:12.2024801],24566,263283,582118
37,[01:54:12.2326870],24301,254353,587172
38,[01:54:12.2628938],20681,219492,595793
39,[01:54:12.2931007],12990,243989,581456
40,[01:54:12.3233076],21595,282755,573825
41,[01:54:12.3535145],24008,237507,606134
42,[01:54:12.3837214],23516,264992,511335
43,[01:54:12.4139283],21384,250606,505770
44,[01:54:12.4441351],19684,238122,526710
45,[01:54:12.4743420],20550,233288,549194
46,[01:54:12.5045489],16691,244487,599147
47,[01:54:12.5347558],29121,235352,536120
48,[01:54:12.5649627],15010,300156,557295
49,[01:54:12.5951696],20885,254671,532925
50,[01:54:12.6253764],20022,235972,569803
51,[01:54:12.6555833],15497,226773,500455
52,[01:54:12.6857902],19588,218500,535273
53,[01:54:12.7159971],15577,220541,576371
54,[01:54:12.7462040],19444,224335,576430
55,[01:54:12.7764109],32370,259587,596917
56,[01:54:12.8066177],15058,268335,606572
57,[01:54:12.8368246],29074,248876,559662
58,[01:54:12.8670315],19704,243739,559086
59,[01:54:12.8972384],22023,278264,540688
60,[01:54:12.9274453],22892,271696,574625
61,[01:54:12.9576522],26267,244329,543912
62,[01:54:12.9878590],20901,251288,632517
63,[01:54:13.0180714],20208,253080,691266
64,[01:54:13.0482783],21477,230993,536980
65,[01:54:13.0784852],20819,250596,535485
66,[01:54:13.1086921],23040,238049,532169
67,[01:54:13.1388990],17121,251273,533001
68,[01:54:13.1691058],25190,243796,537586
69,[01:54:13.1993127],17025,254556,546685
70,[01:54:13.2295196],20895,256079,562844
71,[01:54:13.2597265],21200,256592,542567
72,[01:54:13.2899334],25139,289723,505306
73,[01:54:13.3201403],20957,262603,525845
74,[01:54:13.3503471],27126,244882,562669
75,[01:54:13.3805540],19785,241842,602722
76,[01:54:13.4107609],22155,252244,587788
77,[01:54:13.4409678],29659,249221,599414
78,[01:54:13.4711747],25753,219155,599848
79,[01:54:13.5013816],19957,242144,566650
80,[01:54:13.5315884],28619,249397,572582
81,[01:54:13.5617953],18926,256699,533618
82,[01:54:13.5920022],22146,246229,625719
83,[01:54:13.6222091],20994,252018,520077
84,[01:54:13.6524160],19285,264099,597001
85,[01:54:13.6826229],23230,288560,534264
86,[01:54:13.7128297],26000,290071,610520
87,[01:54:13.7430366],24305,209191,551585
88,[01:54:13.7732435],24716,240490,633699
89,[01:54:13.8034504],19195,226511,570337
90,[01:54:13.8336573],22717,262821,559034
91,[01:54:13.8638642],24024,252079,574085
92,[01:54:13.8940710],22939,262573,592334
93,[01:54:13.9242779],26515,268027,527667
94,[01:54:13.9544848],21513,263643,567820
95,[01:54:13.9846917],25368,245774,571879
96,[01:54:14.0149040],23207,250284,555481
97,[01:54:14.0451109],19684,271951,528084
98,[01:54:14.0753177],18235,253513,584514
99,[01:54:14.1055246],17608,221362,557722
100,[01:54:14.1357315],18393,255790,575125
101,[01:54:14.1659384],16715,260920,629459
102,[01:54:14.1961453],22309,255333,588143
103,[01:54:14.2263522],18802,222181,539051
104,[01:54:14.2565591],23788,268906,566758
105,[01:54:14.2867659],22560,279861,576329
106,[01:54:14.3169728],20865,277661,597957
107,[01:54:14.3471797],23068,247510,545933
108,[01:54:14.3773866],18375,241829,601987
109,[01:54:14.4075935],13745,264659,572965
110,[01:54:14.4378004],22736,249708,594771
111,[01:54:14.4680072],17128,259613,637426
112,[01:54:14.4982141],28408,275129,630358
113,[01:54:14.5284210],19487,263099,635119
114,[01:54:14.5586279],23111,276699,533270
115,[01:54:14.5888348],22611,249514,530794
116,[01:54:14.6190417],18804,235935,528594
117,[01:54:14.6492485],16682,264333,586470
118,[01:54:14.6794554],18033,232563,571844
119,[01:54:14.7096623],27881,213170,646195
120,[01:54:14.7398692],17866,255660,656497
121,[01:54:14.7700761],21923,265153,575270
122,[01:54:14.8002830],19420,232392,603831
123,[01:54:14.8304898],26961,252693,533054
124,[01:54:14.8606967],18215,238976,518583
125,[01:54:14.8909036],27134,222539,547898
126,[01:54:14.9211105],22031,265696,553391
127,[01:54:14.9513174],14071,239100,545505
128,[01:54:14.9815243],19247,208794,610184
129,[01:54:15.0117366],21786,224635,569358
130,[01:54:15.0419435],22243,255444,544607
131,[01:54:15.0721504],19740,222146,552142
132,[01:54:15.1023573],24724,295213,634559
133,[01:54:15.1325642],23402,233414,559676
134,[01:54:15.1627711],19567,226442,549121
135,[01:54:15.1929779],20213,245240,465410
136,[01:54:15.2231848],23450,279780,548478
137,[01:54:15.2533917],19709,257615,600373
138,[01:54:15.2835986],18603,234876,612801
139,[01:54:15.3138055],14142,215250,542885
140,[01:54:15.3440124],16500,251026,571796
141,[01:54:15.3742192],14378,235912,563816
142,[01:54:15.4044261],13707,266260,594465
143,[01:54:15.4346330],16238,268609,487668
144,[01:54:15.4648399],25616,269276,563337
145,[01:54:15.4950468],24226,246977,572489
146,[01:54:15.5252537],27935,259950,577021
147,[01:54:15.5554605],24308,277685,550745
148,[01:54:15.5856674],18555,275476,487556
149,[01:54:15.6158743],21305,261115,563569
150,[01:54:15.6460812],23377,269106,514231
151,[01:54:15.6762881],25653,226394,538464
152,[01:54:15.7064950],26345,253100,492921
153,[01:54:15.7367019],20757,228920,521226
154,[01:54:15.7669087],23448,251188,593278
155,[01:54:15.7971156],23796,237514,590448
156,[01:54:15.8273225],24837,240055,537441
157,[01:54:15.8575294],26801,239907,548081
158,[01:54:15.8877363],27285,262632,585296
159,[01:54:15.9179432],24871,271286,557285
160,[01:54:15.9481500],23532,234279,514936
161,[01:54:15.9783569],22908,222315,540029
162,[01:54:16.0085693],26506,226170,611073
163,[01:54:16.0387762],21218,250542,557179
164,[01:54:16.0689831],22531,245544,536263
165,[01:54:16.0991900],19702,277380,460242
166,[01:54:16.1293968],14700,267080,513152
167,[01:54:16.1596037],21156,293241,596861
168,[01:54:16.1898106],24499,288289,536792
169,[01:54:16.2200175],17826,243438,442850
170,[01:54:16.2502244],18102,225554,554959
171,[01:54:16.2804313],20727,266398,619443
172,[01:54:16.3106381],25170,271697,557720
173,[01:54:16.3408450],22790,265662,535624
174,[01:54:16.3710519],25887,273572,508582
175,[01:54:16.4012588],25887,244434,515564
176,[01:54:16.4314657],25187,228082,535829
177,[01:54:16.4616726],18321,250486,473827
178,[01:54:16.4918794],25688,282501,527940
179,[01:54:16.5220863],23021,293774,609453
180,[01:54:16.5522932],21024,223274,514040
181,[01:54:16.5825001],27455,270472,622129
182,[01:54:16.6127070],22490,227118,602649
183,[01:54:16.6429139],18910,281787,529815
184,[01:54:16.6731207],19818,259721,528431
185,[01:54:16.7033276],25053,275193,493778
186,[01:54:16.7335345],22875,218017,529538
187,[01:54:16.7637414],22611,235242,551708
188,[01:54:16.7939483],21753,261140,473556
189,[01:54:16.8241552],18032,253752,530237
190,[01:54:16.8543620],25866,255680,569188
191,[01:54:16.8845689],19334,265183,610343
192,[01:54:16.9147758],19675,215892,621828
193,[01:54:16.9449827],17359,274398,593990
194,[01:54:16.9751896],23389,236878,512085
195,[01:54:17.0054020],14993,243794,566797
196,[01:54:17.0356088],15616,238802,484983
197,[01:54:17.0658157],20847,234963,519392
198,[01:54:17.0960226],22854,251375,581460
199,[01:54:17.1262295],19600,228079,503118
200,[01:54:17.1564364],19894,230991,637852
201,[01:54:17.1866433],14989,261870,543436
202,[01:54:17.2168501],16450,267993,639880
203,[01:54:17.2470570],22996,249698,620293
204,[01:54:17.2772639],25382,276722,520636
205,[01:54:17.3074708],21664,237426,532082
206,[01:54:17.3376777],23967,242405,585663
207,[01:54:17.3678846],25818,218787,594025
208,[01:54:17.3980914],20337,252222,535322
209,[01:54:17.4282983],19765,247306,682661
210,[01:54:17.4585052],23264,263243,548057
211,[01:54:17.4887121],26123,258878,544773
212,[01:54:17.5189190],21253,248585,554737
213,[01:54:17.5491259],19275,222003,550410
214,[01:54:17.5793328],24737,315951,553060
215,[01:54:17.6095396],22143,272126,527275
216,[01:54:17.6397465],15663,288367,614745
217,[01:54:17.6699534],21666,258661,582476
218,[01:54:17.7001603],14675,221523,546638
219,[01:54:17.7303672],18107,288615,558113
220,[01:54:17.7605741],20689,220086,579566
221,[01:54:17.7907809],22688,202537,511107
222,[01:54:17.8209878],16880,280932,531315
223,[01:54:17.8511947],22115,238561,580207
224,[01:54:17.8814016],24906,250164,666345
225,[01:54:17.9116085],15617,254004,569151
226,[01:54:17.9418154],21084,218744,553929
227,[01:54:17.9720222],21074,258466,563558
228,[01:54:18.0022345],23564,227127,543193
229,[01:54:18.0324414],14637,225342,568179
230,[01:54:18.0626483],24817,267771,539914
231,[01:54:18.0928552],22805,260227,540020
232,[01:54:18.1230621],24115,282350,567556
233,[01:54:18.1532689],18456,241725,634816
234,[01:54:18.1834758],25493,264247,577018
235,[01:54:18.2136827],22687,265377,536054
236,[01:54:18.2438896],25483,266277,521069
237,[01:54:18.2740965],20098,245778,574188
238,[01:54:18.3043034],25319,244587,640347
239,[01:54:18.3345102],20853,232161,553470
240,[01:54:18.3647171],18868,271904,610958
241,[01:54:18.3949240],18983,265974,579652
242,[01:54:18.4251309],28697,223563,504582
243,[01:54:18.4553378],19325,192986,463680
244,[01:54:18.4855447],28754,264594,566702
245,[01:54:18.5157515],20601,232092,631331
246,[01:54:18.5459584],19177,262432,557728
247,[01:54:18.5761653],29844,239577,555614
248,[01:54:18.6063722],22302,252271,504284
249,[01:54:18.6365791],22499,238699,566884
250,[01:54:18.6667860],21782,252809,565072
251,[01:54:18.6969928],12849,261212,456383
252,[01:54:18.7271997],24796,230573,521185
253,[01:54:18.7574066],21886,237904,478491
254,[01:54:18.7876135],23884,275950,503069
255,[01:54:18.8178204],22382,227313,591169
256,[01:54:18.8480273],27648,248242,551990
257,[01:54:18.8782341],20296,234830,549618
258,[01:54:18.9084410],25314,258225,521602
259,[01:54:18.9386479],22435,257182,565371
260,[01:54:18.9688548],19636,270302,534878
261,[01:54:18.9990617],22004,259484,626069
262,[01:54:19.0292741],24051,221388,579531
263,[01:54:19.0594809],18303,264926,554641
264,[01:54:19.0896878],23242,230868,524905
265,[01:54:19.1198947],24327,241706,494986
266,[01:54:19.1501016],19254,222530,555940
267,[01:54:19.1803085],17464,244398,544733
268,[01:54:19.2105154],23754,251025,609412
269,[01:54:19.2407222],18537,234421,511768
270,[01:54:19.2709291],23384,236230,550414
271,[01:54:19.3011360],21244,248953,541582
272,[01:54:19.3313429],16031,246627,534504
273,[01:54:19.3615498],17051,253814,511071
274,[01:54:19.3917567],20754,254152,535459
275,[01:54:19.4219635],20050,251394,454457
276,[01:54:19.4521704],17976,283357,520332
277,[01:54:19.4823773],18604,274105,524128
278,[01:54:19.5125842],26720,264720,466199
279,[01:54:19.5427911],25943,241400,553416
280,[01:54:19.5729980],23473,257268,570918
281,[01:54:19.6032048],21401,249711,561314
282,[01:54:19.6334117],25641,256858,574248
283,[01:54:19.6636186],21949,270801,524512
284,[01:54:19.6938255],15498,246613,547985
285,[01:54:19.7240324],21046,245402,554534
286,[01:54:19.7542393],18806,276448,579576
287,[01:54:19.7844462],21238,293991,491003
288,[01:54:19.8146530],20757,275873,573770
289,[01:54:19.8448599],17664,261800,566203
290,[01:54:19.8750668],15999,210853,565876
291,[01:54:19.9052737],25940,289056,533196
292,[01:54:19.9354806],21325,222163,568793
293,[01:54:19.9656875],23305,250513,611324
294,[01:54:19.9958943],22471,231752,551051
295,[01:54:20.0261067],25386,262301,555018
296,[01:54:20.0563136],24087,266597,537654
297,[01:54:20.0865205],21354,269980,619006
298,[01:54:20.1167274],19884,247272,542049
299,[01:54:20.1469343],15975,262145,588977
300,[01:54:20.1771411],19923,232381,573616
301,[01:54:20.2073480],17192,260392,535040
302,[01:54:20.2375549],19041,257027,477646
303,[01:54:20.2677618],30625,243829,512907
304,[01:54:20.2979687],26575,262297,582047
305,[01:54:20.3281756],23318,219171,597791
306,[01:54:20.3583824],20292,279227,575917
307,[01:54:20.3885893],22464,281373,459510
308,[01:54:20.4187962],18613,237078,614995
309,[01:54:20.4490031],19608,280611,527517
310,[01:54:20.4792100],22526,247187,562484
311,[01:54:20.5094169],26079,268670,579015
312,[01:54:20.5396237],27138,230632,548199
313,[01:54:20.5698306],24680,264391,599729
314,[01:54:20.6000375],20523,229927,529304
315,[01:54:20.6302444],22367,234105,565452
316,[01:54:20.6604513],26088,256732,590232
317,[01:54:20.6906582],21289,272060,571058
318,[01:54:20.7208650],19761,278318,509402
319,[01:54:20.7510719],22061,244477,550733
320,[01:54:20.7812788],18566,238207,558555
