Predicted duration,2.1,,,
Predicted error,0.5,,,
Predicted start,05:52:11,,,
Notes,none,,,
FrameNum,timeInfo,signal-target,signal-track1,signal-track2
0,[05:51:15.1755552],32882,135573,212586
1,[05:51:15.3186410],29828,131261,203360
2,[05:51:15.4686857],26256,129650,203971
3,[05:51:15.6190503],24824,128509,194984
4,[05:51:15.7688274],29610,133647,194483
5,[05:51:15.9195216],29197,130726,189454
6,[05:51:16.0709232],31542,138001,199547
7,[05:51:16.2188285],32794,137011,198835
8,[05:51:16.3703144],34306,143267,217518
9,[05:51:16.5194990],33409,129283,209184
10,[05:51:16.6693162],32217,132164,218242
11,[05:51:16.8189490],34020,132245,200784
12,[05:51:16.9695214],32903,114675,210551
13,[05:51:17.1191833],28131,115835,192631
14,[05:51:17.2694445],30367,121959,185178
15,[05:51:17.4198964],28424,129085,186379
16,[05:51:17.5711463],27525,129655,181834
17,[05:51:17.7200308],26035,126473,196506
18,[05:51:17.8711429],25526,128217,177831
19,[05:51:18.0203343],24423,118855,182366
20,[05:51:18.1706516],27701,120105,200441
21,[05:51:18.3196974],23466,127729,191838
22,[05:51:18.4719186],29645,115508,208824
23,[05:51:18.6230651],27933,119787,188323
24,[05:51:18.7700268],22145,113584,218594
25,[05:51:18.9204076],28613,120011,191707
26,[05:51:19.0704806],26137,123766,181817
27,[05:51:19.2209381],24850,122586,178143
28,[05:51:19.3711657],25389,113976,168280
29,[05:51:19.5205323],27876,108500,180056
30,[05:51:19.6708104],27735,121622,181211
31,[05:51:19.8206614],29058,121661,176346
32,[05:51:19.9706709],29576,130081,180113
33,[05:51:20.1215211],28253,116115,177493
34,[05:51:20.2710278],28303,130139,186926
35,[05:51:20.4209334],25879,125695,190221
36,[05:51:20.5711060],26696,123166,192108
37,[05:51:20.7209968],26887,114706,173804
38,[05:51:20.8714657],25900,126583,184922
39,[05:51:21.0230729],24934,130321,188384
40,[05:51:21.1710063],32477,138796,192645
41,[05:51:21.3214029],27118,127785,201141
42,[05:51:21.4714235],32790,143228,191858
43,[05:51:21.6220986],27877,126889,194462
44,[05:51:21.7732449],29916,122913,211636
45,[05:51:21.9222613],28099,122048,197364
46,[05:51:22.0729213],24941,142138,208516
47,[05:51:22.2216364],27096,127751,213520
48,[05:51:22.3721301],27527,133488,192736
49,[05:51:22.5246731],32538,129620,205918
50,[05:51:22.6719793],31791,126458,203058
51,[05:51:22.8221233],28946,136065,204277
52,[05:51:22.9736429],32621,132113,204179
53,[05:51:23.1223737],29021,137099,208268
54,[05:51:23.2731274],31178,134312,213051
55,[05:51:23.4223814],32879,146144,209993
56,[05:51:23.5752381],35616,140199,212923
57,[05:51:23.7230030],34843,145267,218849
58,[05:51:23.8732403],26271,128955,234733
59,[05:51:24.0231714],35216,118302,211670
60,[05:51:24.1729993],33121,138830,217100
61,[05:51:24.3228280],31138,134849,201409
62,[05:51:24.4726045],29065,135682,210869
63,[05:51:24.6235167],29337,134890,209762
64,[05:51:24.7746839],28073,141589,224091
65,[05:51:24.9229953],34934,140450,221113
66,[05:51:25.0753526],29386,135975,198355
67,[05:51:25.2232828],29538,128158,185795
68,[05:51:25.3752087],26874,140973,199623
69,[05:51:25.5234511],30079,136291,198035
70,[05:51:25.6741190],27259,140186,197305
71,[05:51:25.8252911],34355,137830,207012
72,[05:51:25.9738306],31727,133824,207588
73,[05:51:26.1244616],32015,130311,216554
74,[05:51:26.2753566],28718,133842,213926
75,[05:51:26.4252638],29639,131657,209403
76,[05:51:26.5737167],28025,124306,213247
77,[05:51:26.7261316],23478,124644,191094
78,[05:51:26.8751308],26959,133566,184807
79,[05:51:27.0256017],24784,127210,183327
80,[05:51:27.1741098],27517,120881,182919
81,[05:51:27.3259437],26614,126931,188551
82,[05:51:27.4759832],19589,122161,191954
83,[05:51:27.6247411],29007,130128,200724
84,[05:51:27.7765838],29235,124937,196308
85,[05:51:27.9249086],27408,128741,195206
86,[05:51:28.0757466],24073,125040,200120
87,[05:51:28.2246174],24553,115887,186715
88,[05:51:28.3753560],26384,118514,181649
89,[05:51:28.5264093],24239,129594,180213
90,[05:51:28.6746801],31038,132834,195116
91,[05:51:28.8249956],24288,120256,186868
92,[05:51:28.9776043],25628,122803,181855
93,[05:51:29.1278233],28956,140481,194674
94,[05:51:29.2768463],28301,129923,206416
95,[05:51:29.4252779],27986,123198,197425
96,[05:51:29.5760402],29800,127298,213712
97,[05:51:29.7271868],28924,144979,213072
98,[05:51:29.8756077],27978,139051,227611
99,[05:51:30.0258421],29339,147248,200624
100,[05:51:30.1763625],29471,157219,223368
101,[05:51:30.3277959],34265,149041,214563
102,[05:51:30.4758738],32007,137086,207646
103,[05:51:30.6301972],32850,134648,222810
104,[05:51:30.7760920],30225,130398,209033
105,[05:51:30.9272687],25161,127910,195189
106,[05:51:31.0765201],22619,140680,226439
107,[05:51:31.2269038],24405,125922,210202
108,[05:51:31.3774788],26494,124419,218526
109,[05:51:31.5265244],31773,124672,219922
110,[05:51:31.6785519],29069,127621,202124
111,[05:51:31.8272433],26227,112132,200953
112,[05:51:31.9766660],27609,124243,205466
113,[05:51:32.1286891],21346,113310,190523
114,[05:51:32.2770249],19246,118000,180555
115,[05:51:32.4289658],24782,118402,192563
116,[05:51:32.5768181],25200,111465,183651
117,[05:51:32.7295788],23957,110614,196321
118,[05:51:32.8778069],25669,122612,176768
119,[05:51:33.0275889],23581,119701,175422
120,[05:51:33.1797033],20423,119995,166760
121,[05:51:33.3270384],22118,115630,170546
122,[05:51:33.4791696],22202,110480,190577
123,[05:51:33.6290534],23218,113584,178338
124,[05:51:33.7773928],20059,109737,187334
125,[05:51:33.9292157],22709,118529,185604
126,[05:51:34.0788795],21917,119516,197720
127,[05:51:34.2279692],20519,129130,183951
128,[05:51:34.3804077],26940,114981,180818
129,[05:51:34.5296396],23358,129350,183347
130,[05:51:34.6793381],19914,112414,193762
131,[05:51:34.8288440],22188,125589,178878
132,[05:51:34.9780818],23033,121026,167995
133,[05:51:35.1291413],27462,108461,186678
134,[05:51:35.2798209],20272,124361,199515
135,[05:51:35.4279593],23419,109696,191051
136,[05:51:35.5799155],22083,114442,178764
137,[05:51:35.7301757],23993,111659,182387
138,[05:51:35.8826017],23697,113896,181684
139,[05:51:36.0284387],18462,124488,174508
140,[05:51:36.1785456],22156,126117,193730
141,[05:51:36.3302555],21475,114097,190007
142,[05:51:36.4800358],28235,133375,194355
143,[05:51:36.6319932],26452,127254,201763
144,[05:51:36.7804615],27500,130781,190668
145,[05:51:36.9287741],30537,129257,186713
146,[05:51:37.0796055],25099,138745,188730
147,[05:51:37.2306074],26867,131506,196677
148,[05:51:37.3823354],29793,132064,197739
149,[05:51:37.5308278],29164,145257,192922
150,[05:51:37.6799538],28611,139361,216382
151,[05:51:37.8317903],28107,133832,206621
152,[05:51:37.9802128],31316,135485,203709
153,[05:51:38.1317842],28913,132518,215557
154,[05:51:38.2812276],33507,140437,219854
155,[05:51:38.4300352],29019,129181,205342
156,[05:51:38.5816626],29353,129424,205059
157,[05:51:38.7295538],22215,129259,196931
158,[05:51:38.8800570],30673,130194,212988
159,[05:51:39.0314125],26870,146385,226802
160,[05:51:39.1803845],33300,136962,221972
161,[05:51:39.3317455],31931,137788,229562
162,[05:51:39.4822397],31271,129899,215695
163,[05:51:39.6337591],31689,133993,209519
164,[05:51:39.7838722],24641,128806,216823
165,[05:51:39.9309204],31467,121118,192953
166,[05:51:40.0830060],30386,112982,201869
167,[05:51:40.2305899],25466,114341,211191
168,[05:51:40.3818084],20087,121514,186898
169,[05:51:40.5310005],29057,109441,177367
170,[05:51:40.6819313],23408,110211,183972
171,[05:51:40.8330496],24203,104821,175968
172,[05:51:40.9809262],21847,104249,162090
173,[05:51:41.1332175],18517,99095,167689
174,[05:51:41.2842794],21434,102547,161853
175,[05:51:41.4310867],21206,98367,161755
176,[05:51:41.5811795],20059,95338,158930
177,[05:51:41.7335634],17618,90574,153696
178,[05:51:41.8821569],21802,85859,151288
179,[05:51:42.0329437],21540,90287,146376
180,[05:51:42.1816733],20799,84199,145806
181,[05:51:42.3318538],16070,88437,139521
182,[05:51:42.4844682],12854,89624,145771
183,[05:51:42.6319317],15572,99038,143220
184,[05:51:42.7833096],17862,97323,140118
185,[05:51:42.9354322],12330,108328,140085
186,[05:51:43.0838678],15336,94049,132331
187,[05:51:43.2320024],17648,109770,145432
188,[05:51:43.3839989],22834,109888,148681
189,[05:51:43.5332566],20009,113658,167334
190,[05:51:43.6826519],20395,108381,166655
191,[05:51:43.8322521],21675,99248,166453
192,[05:51:43.9845691],22903,107210,166535
193,[05:51:44.1355403],18249,104565,172940
194,[05:51:44.2826436],14625,110824,170887
195,[05:51:44.4327031],19325,106339,161487
196,[05:51:44.5834986],21828,104662,168419
197,[05:51:44.7331857],21479,100571,152899
198,[05:51:44.8826864],23165,105865,176301
199,[05:51:45.0330353],24150,102384,177399
200,[05:51:45.1849148],19799,99710,169685
201,[05:51:45.3357296],21517,105105,167270
202,[05:51:45.4871838],18581,92771,168349
203,[05:51:45.6331983],19296,103619,142770
204,[05:51:45.7864785],19995,91839,155640
205,[05:51:45.9334975],19961,87394,156153
206,[05:51:46.0853276],19881,92476,153336
207,[05:51:46.2363706],18829,93049,149933
208,[05:51:46.3834594],13644,85254,134949
209,[05:51:46.5341364],18835,88973,137392
210,[05:51:46.6835782],11869,88571,138737
211,[05:51:46.8337399],12388,86448,138615
212,[05:51:46.9864703],19270,86082,137330
213,[05:51:47.1338541],18358,89029,141322
214,[05:51:47.2855399],14334,81378,138461
215,[05:51:47.4368465],12250,89623,134683
216,[05:51:47.5845584],11915,84138,151702
217,[05:51:47.7357457],11633,77049,145662
218,[05:51:47.8845765],12471,87469,145685
219,[05:51:48.0342925],10827,81015,141850
220,[05:51:48.1843949],11919,71281,132867
221,[05:51:48.3386307],13927,84245,141023
222,[05:51:48.4844749],17568,83283,132100
223,[05:51:48.6365476],11174,78464,127984
224,[05:51:48.7846614],12998,86662,143992
225,[05:51:48.9370447],12131,85059,139756
226,[05:51:49.0868150],19139,84430,125109
227,[05:51:49.2365260],11438,85317,125701
228,[05:51:49.3855547],19319,82432,135623
229,[05:51:49.5354996],13961,75613,135663
230,[05:51:49.6851962],8435,81942,129437
231,[05:51:49.8355639],13414,79590,130666
232,[05:51:49.9851422],16660,77811,143588
233,[05:51:50.1368274],11242,77467,136837
234,[05:51:50.2891112],15026,74397,136545
235,[05:51:50.4354502],15521,81342,126814
236,[05:51:50.5871723],14782,77131,127581
237,[05:51:50.7356461],12285,79147,131994
238,[05:51:50.8881406],10999,74188,134985
239,[05:51:51.0356187],8606,79164,121445
240,[05:51:51.1858733],15626,74752,127459
241,[05:51:51.3378104],10834,81057,130802
242,[05:51:51.4886696],13121,75012,112103
243,[05:51:51.6374021],12987,79397,131248
244,[05:51:51.7877596],14966,68621,140656
245,[05:51:51.9364704],14885,79694,133656
246,[05:51:52.0873468],14519,81938,130515
247,[05:51:52.2380672],16306,83351,127697
248,[05:51:52.3887566],12662,80922,133476
249,[05:51:52.5382749],12959,78520,125217
250,[05:51:52.6865695],15712,76280,132938
251,[05:51:52.8385480],16277,86037,130581
252,[05:51:52.9867009],16341,91496,123859
253,[05:51:53.1408325],19751,103885,145007
254,[05:51:53.2868806],21730,105686,150791
255,[05:51:53.4397845],18912,104445,154443
256,[05:51:53.5899091],22300,122486,156201
257,[05:51:53.7381247],24091,101296,182458
258,[05:51:53.8877263],24726,105755,167679
259,[05:51:54.0383116],23569,110352,190783
260,[05:51:54.1876201],17746,110088,169264
261,[05:51:54.3393065],19160,110064,167840
262,[05:51:54.4875545],24189,107672,175959
263,[05:51:54.6383073],20100,121229,184892
264,[05:51:54.7893201],21088,108390,175369
265,[05:51:54.9389317],19579,122234,170662
266,[05:51:55.0894239],21735,116875,161471
267,[05:51:55.2408285],26555,116593,184721
268,[05:51:55.3879657],25263,112296,181149
269,[05:51:55.5378195],29181,126345,202225
270,[05:51:55.6879588],21459,123746,190113
271,[05:51:55.8397292],20870,128790,178675
272,[05:51:55.9884780],23841,120529,179889
273,[05:51:56.1390634],22425,120283,195312
274,[05:51:56.2899798],22872,126746,169708
275,[05:51:56.4384664],23283,117240,182278
276,[05:51:56.5904504],21392,113626,163270
277,[05:51:56.7412079],24782,127670,187237
278,[05:51:56.8909729],22733,127078,190664
279,[05:51:57.0408596],21527,132951,184186
