Predicted duration,0.5,,,
Predicted error,6.6,,,
Predicted start,07:01:55,,,
Notes,none,,,
FrameNum,timeInfo,signal-target,signal-track1,signal-track2
0,[07:00:56.1380851],30753,4859809,93669
1,[07:00:56.2887483],38127,4893245,113381
2,[07:00:56.4386799],50189,5225585,101489
3,[07:00:56.5877651],36396,5124304,96915
4,[07:00:56.7413412],38410,4829558,125534
5,[07:00:56.8877779],41899,5166968,93049
6,[07:00:57.0395969],46767,4971452,117845
7,[07:00:57.1881119],51276,4783422,102219
8,[07:00:57.3394248],32167,4899233,111520
9,[07:00:57.4886658],37080,4941548,106360
10,[07:00:57.6388367],37615,4859324,117449
11,[07:00:57.7918211],35112,4773656,89720
12,[07:00:57.9400555],38431,4790707,103150
13,[07:00:58.0886919],39385,4580476,106476
14,[07:00:58.2401493],33592,5021782,90669
15,[07:00:58.3886937],31669,4692990,103960
16,[07:00:58.5387267],30113,4801652,89545
17,[07:00:58.6905521],32455,4524694,91023
18,[07:00:58.8388984],22069,4816251,61067
19,[07:00:58.9887962],30827,4753227,92056
20,[07:00:59.1393147],32469,5069279,85164
21,[07:00:59.2890504],41052,5310471,87219
22,[07:00:59.4393380],35190,4838129,91974
23,[07:00:59.5893415],35205,4987347,107020
24,[07:00:59.7397144],33986,4724226,93764
25,[07:00:59.8898832],41259,4899535,105570
26,[07:01:00.0395437],34091,4711040,105300
27,[07:01:00.1915452],38958,4904502,100663
28,[07:01:00.3401560],33645,4583629,106499
29,[07:01:00.4901106],32918,4578716,105816
30,[07:01:00.6396967],39535,5345405,98841
31,[07:01:00.7899094],38588,4537814,109437
32,[07:01:00.9408978],44346,5336381,81619
33,[07:01:01.0910542],45034,5046450,101734
34,[07:01:01.2432392],45075,5129173,108512
35,[07:01:01.3907328],37485,4987331,93722
36,[07:01:01.5406326],45140,5177586,114745
37,[07:01:01.6919835],42634,5226973,123045
38,[07:01:01.8404182],42710,4689494,117530
39,[07:01:01.9907843],36731,4821447,112759
40,[07:01:02.1413518],44220,5121931,102900
41,[07:01:02.2906708],37011,4986225,105658
42,[07:01:02.4410402],25814,5294731,115327
43,[07:01:02.5907624],33307,5052428,94779
44,[07:01:02.7427847],36729,4957436,99524
45,[07:01:02.8910981],41417,5062395,110108
46,[07:01:03.0415449],42448,4721267,106560
47,[07:01:03.1923500],43802,4969091,125094
48,[07:01:03.3426699],43098,5327950,118825
49,[07:01:03.4912820],40426,4858221,109645
50,[07:01:03.6445941],48297,5403944,99642
51,[07:01:03.7923399],36408,5367968,127809
52,[07:01:03.9417571],42958,5350150,126262
53,[07:01:04.0916255],45181,4898898,101084
54,[07:01:04.2431060],38413,4586488,116200
55,[07:01:04.3938136],45653,4993124,112135
56,[07:01:04.5419558],36919,4827542,128214
57,[07:01:04.6921128],34044,4553062,95385
58,[07:01:04.8438042],35211,4907323,83189
59,[07:01:04.9921528],36813,5083538,105562
60,[07:01:05.1435059],31260,4775685,87016
61,[07:01:05.2923564],33772,4551415,106093
62,[07:01:05.4454820],45325,4832946,110383
63,[07:01:05.5924980],42838,4635134,101621
64,[07:01:05.7428666],35073,4652141,90134
65,[07:01:05.8941273],30709,4518640,70081
66,[07:01:06.0441350],31885,4683683,68457
67,[07:01:06.1928516],34180,4750469,88654
68,[07:01:06.3427459],34105,4812340,101070
69,[07:01:06.4957771],37668,5146755,99499
70,[07:01:06.6460528],37752,5218012,113611
71,[07:01:06.7929217],36162,5178298,122621
72,[07:01:06.9452374],34826,5043951,111511
73,[07:01:07.0934149],33676,5096423,89786
74,[07:01:07.2448722],27372,4615418,108131
75,[07:01:07.3933130],40854,4875063,91884
76,[07:01:07.5443912],47018,5102021,120762
77,[07:01:07.6951253],40552,5049287,101857
78,[07:01:07.8449360],42385,5106688,111934
79,[07:01:07.9961677],41914,5042821,120836
