Predicted duration,6.0,,,
Predicted error,0.5,,,
Predicted start,04:22:42,,,
Notes,none,,,
FrameNum,timeInfo,signal-target,signal-track1
0,[04:21:42.3431267],1110109,98394
1,[04:21:42.3933928],1105439,93707
2,[04:21:42.4432419],1115053,91056
3,[04:21:42.4949386],1088963,94641
4,[04:21:42.5433415],1084104,97265
5,[04:21:42.5931645],1044487,94436
6,[04:21:42.6433202],1104793,89106
7,[04:21:42.6936433],1024440,88787
8,[04:21:42.7436056],1086909,93432
9,[04:21:42.7934238],1104035,90441
10,[04:21:42.8436695],1076545,90775
11,[04:21:42.8937593],1078239,89704
12,[04:21:42.9438081],1070671,95772
13,[04:21:42.9937594],1038089,92050
14,[04:21:43.0437834],1104252,95340
15,[04:21:43.0944983],1126521,83701
16,[04:21:43.1440322],1115230,91254
17,[04:21:43.1942007],1100427,96409
18,[04:21:43.2442919],1113137,98194
19,[04:21:43.2943892],1109332,95929
20,[04:21:43.3444745],1102819,92800
21,[04:21:43.3947064],1077276,95925
22,[04:21:43.4448480],1112556,91720
23,[04:21:43.4944026],1041659,94402
24,[04:21:43.5449350],1004626,90630
25,[04:21:43.5949330],1039473,86365
26,[04:21:43.6451843],1133925,96655
27,[04:21:43.6949678],1069510,89242
28,[04:21:43.7450847],1032890,94842
29,[04:21:43.7949542],1102046,93318
30,[04:21:43.8452296],1054121,95218
31,[04:21:43.8954409],1090034,89544
32,[04:21:43.9453326],1112708,94254
33,[04:21:43.9954008],1063770,94204
34,[04:21:44.0453385],1069219,91678
35,[04:21:44.0955213],1063120,98751
36,[04:21:44.1455263],1031301,94800
37,[04:21:44.1960783],1092766,93437
38,[04:21:44.2458228],1098205,96730
39,[04:21:44.2958348],1032616,93251
40,[04:21:44.3458612],1076453,91932
41,[04:21:44.3960552],1139976,91692
42,[04:21:44.4459214],1109090,90971
43,[04:21:44.4960711],1083780,92854
44,[04:21:44.5462879],1062586,88515
45,[04:21:44.5963717],1045832,90799
46,[04:21:44.6464369],1074489,90144
47,[04:21:44.6965086],1036001,87652
48,[04:21:44.7467111],1040200,96036
49,[04:21:44.7966574],1048732,92714
50,[04:21:44.8466851],1086365,92359
51,[04:21:44.8967821],1081304,95033
52,[04:21:44.9470559],1027535,92977
53,[04:21:44.9968619],1096462,88853
54,[04:21:45.0470282],1069859,92547
55,[04:21:45.0971131],1067279,92045
56,[04:21:45.1474811],1093177,90567
57,[04:21:45.1972809],1085381,86455
58,[04:21:45.2472802],1098308,92173
59,[04:21:45.2973080],1117635,94679
60,[04:21:45.3475515],1105638,89654
61,[04:21:45.3978540],996925,88942
62,[04:21:45.4474569],1083858,95858
63,[04:21:45.4975921],1076517,91272
64,[04:21:45.5478687],1112334,92502
65,[04:21:45.5977129],1108830,94013
66,[04:21:45.6479564],1026292,82968
67,[04:21:45.6978191],1029309,92800
68,[04:21:45.7482724],1112023,92839
69,[04:21:45.7980207],1054573,90188
70,[04:21:45.8482672],1069705,91241
71,[04:21:45.8983729],1117576,93150
72,[04:21:45.9485007],1065792,90619
73,[04:21:45.9983592],1037819,88223
74,[04:21:46.0484438],1035676,96982
75,[04:21:46.0986600],1099107,92009
76,[04:21:46.1485007],1088469,90632
77,[04:21:46.1986310],1058309,93202
78,[04:21:46.2488235],1069142,96276
79,[04:21:46.2988396],1127841,94307
80,[04:21:46.3492503],1087097,88468
81,[04:21:46.3991498],1079860,93789
82,[04:21:46.4490388],1118394,90563
83,[04:21:46.4993254],1070953,98882
84,[04:21:46.5499242],1089144,92723
85,[04:21:46.5999848],1071091,88279
86,[04:21:46.6498596],1022945,90647
87,[04:21:46.6997885],1099987,87702
88,[04:21:46.7494593],1081119,91846
89,[04:21:46.7996734],1082954,91289
90,[04:21:46.8501281],1056370,97286
91,[04:21:46.8999548],1045026,92337
92,[04:21:46.9498809],1128527,90636
93,[04:21:47.0000816],1087175,91155
94,[04:21:47.0503709],1073003,87957
95,[04:21:47.1009188],998504,89523
96,[04:21:47.1504554],1071916,95095
97,[04:21:47.2009492],1077742,89660
98,[04:21:47.2508902],1050799,90972
99,[04:21:47.3008586],1063187,90936
100,[04:21:47.3526535],1049983,95456
101,[04:21:47.4026161],1026140,88820
102,[04:21:47.4513326],1186557,94031
103,[04:21:47.5030290],1089585,96369
104,[04:21:47.5520801],1013941,98007
105,[04:21:47.6011555],1069912,92975
106,[04:21:47.6508434],1092602,92516
107,[04:21:47.7010902],1042551,95967
108,[04:21:47.7510201],1081053,93147
109,[04:21:47.8012265],1168233,93947
110,[04:21:47.8514102],1055347,95464
111,[04:21:47.9014756],1023332,94220
112,[04:21:47.9514445],1063993,98496
113,[04:21:48.0015466],1064312,88691
114,[04:21:48.0515584],1068769,90660
115,[04:21:48.1015588],1066714,92136
116,[04:21:48.1517691],1079221,86034
117,[04:21:48.2017027],1007409,91393
118,[04:21:48.2519148],1061484,90030
119,[04:21:48.3020086],1124038,94058
120,[04:21:48.3522274],1050560,92887
121,[04:21:48.4023758],1070660,94309
122,[04:21:48.4522377],1090774,91636
123,[04:21:48.5020928],1086686,91784
124,[04:21:48.5523777],1048711,94282
125,[04:21:48.6024435],1076024,89370
126,[04:21:48.6525425],1077044,91011
127,[04:21:48.7024277],1140078,90327
128,[04:21:48.7525866],1086314,89508
129,[04:21:48.8027755],1040923,87721
130,[04:21:48.8527857],1067347,92637
131,[04:21:48.9031081],1100789,87686
132,[04:21:48.9529162],1051259,89523
133,[04:21:49.0028421],1040288,85829
134,[04:21:49.0530351],1072674,92191
135,[04:21:49.1031665],1098265,93564
136,[04:21:49.1533178],1094860,96686
137,[04:21:49.2031774],1108503,92465
138,[04:21:49.2534661],1052903,89107
139,[04:21:49.3034671],1053372,89868
140,[04:21:49.3536326],1115453,88061
141,[04:21:49.4039402],1098218,89930
142,[04:21:49.4535260],1040068,88429
143,[04:21:49.5038257],1100439,99602
144,[04:21:49.5539078],1114091,92787
145,[04:21:49.6038094],1034495,89938
146,[04:21:49.6540678],1081433,90843
