Predicted duration,0.9,,,
Predicted error,0.5,,,
Predicted start,03:47:06,,,
Notes,none,,,
FrameNum,timeInfo,signal-target,signal-track1,signal-track2
0,[03:46:27.4290133],10632,67209,27852
1,[03:46:27.5787240],12102,66638,29667
2,[03:46:27.7288905],11418,69355,29318
3,[03:46:27.8788105],11401,67348,26379
4,[03:46:28.0289192],11627,71719,29306
5,[03:46:28.1791166],10897,67501,31147
6,[03:46:28.3292205],11765,69648,28717
7,[03:46:28.4790487],10573,70998,26618
8,[03:46:28.6292632],11141,68670,28010
9,[03:46:28.7791748],11757,68976,26987
10,[03:46:28.9293528],12720,68578,30073
11,[03:46:29.0793811],10558,68438,28927
12,[03:46:29.2297162],9886,72879,28785
13,[03:46:29.3795594],11723,69250,28734
14,[03:46:29.5297391],11077,71584,26918
15,[03:46:29.6800649],10045,72506,27026
16,[03:46:29.8298587],11520,72944,26859
17,[03:46:29.9799739],10378,69112,27140
18,[03:46:30.1302852],10392,67623,28170
19,[03:46:30.2801444],12716,71710,26883
20,[03:46:30.4303530],11572,68761,28241
21,[03:46:30.5804445],10919,67946,28672
22,[03:46:30.7304061],12011,67748,28238
23,[03:46:30.8803724],11862,70183,29086
24,[03:46:31.0306217],11896,69554,30109
25,[03:46:31.1805935],10521,67253,29582
26,[03:46:31.3308468],11778,73161,27539
27,[03:46:31.4806502],12105,69554,27796
28,[03:46:31.6307475],11119,66093,26159
29,[03:46:31.7811217],12746,69619,28395
30,[03:46:31.9311468],10477,68464,25504
31,[03:46:32.0810444],11368,71396,29531
32,[03:46:32.2310665],12051,69318,27294
33,[03:46:32.3812673],14008,69858,29105
34,[03:46:32.5312947],12889,69617,27918
35,[03:46:32.6817504],11933,67931,27964
36,[03:46:32.8318872],11010,71284,28553
37,[03:46:32.9814852],11836,70177,28813
38,[03:46:33.1315372],11614,69424,26164
39,[03:46:33.2815602],11296,71678,28984
40,[03:46:33.4318437],11921,68814,26237
41,[03:46:33.5819947],11296,70477,29220
42,[03:46:33.7321522],12231,70146,28790
43,[03:46:33.8819365],12927,69225,27540
44,[03:46:34.0320860],10929,67987,28334
45,[03:46:34.1821312],12203,68818,27945
46,[03:46:34.3324542],9530,69912,26898
47,[03:46:34.4822189],10126,66715,28842
48,[03:46:34.6326496],11260,71021,25617
49,[03:46:34.7824545],11267,69455,29198
50,[03:46:34.9325782],11889,70052,28854
51,[03:46:35.0825901],11864,68471,29407
52,[03:46:35.2326530],12357,69918,27232
53,[03:46:35.3829224],10726,69691,27953
54,[03:46:35.5330408],11272,66442,27227
55,[03:46:35.6831380],11422,67297,27061
56,[03:46:35.8331130],11832,67803,27936
57,[03:46:35.9830518],11870,66635,28283
58,[03:46:36.1332183],11022,67666,26997
59,[03:46:36.2832159],10854,68027,27939
60,[03:46:36.4340723],10066,67359,29221
