Predicted duration,0.4,,,
Predicted error,1.1,,,
Predicted start,00:30:51,,,
Notes,none,,,
FrameNum,timeInfo,signal-target,signal-track
0,[00:30:20.8694588],9508,9936
1,[00:30:20.8889949],9535,8195
2,[00:30:20.9126338],9440,8021
3,[00:30:20.9291353],10151,8233
4,[00:30:20.9491306],9985,7320
5,[00:30:20.9700158],8327,8905
6,[00:30:20.9899101],10182,9908
7,[00:30:21.0096373],9126,9532
8,[00:30:21.0294684],8500,11520
9,[00:30:21.0498970],8521,9923
10,[00:30:21.0699189],9893,8084
11,[00:30:21.0896849],8154,10058
12,[00:30:21.1098193],10210,9469
13,[00:30:21.1298685],9608,8460
14,[00:30:21.1499181],10439,9324
15,[00:30:21.1700029],9507,10293
16,[00:30:21.1901350],9567,9314
17,[00:30:21.2102412],8176,8465
18,[00:30:21.2302823],9551,8896
19,[00:30:21.2503063],10047,9650
20,[00:30:21.2704051],10609,8774
21,[00:30:21.2905358],8815,7404
22,[00:30:21.3106274],8832,9126
23,[00:30:21.3306705],11018,8328
24,[00:30:21.3507380],8580,9259
25,[00:30:21.3708836],9224,10193
26,[00:30:21.3909246],9236,8523
27,[00:30:21.4109563],8278,9516
28,[00:30:21.4310482],8120,9410
29,[00:30:21.4511023],9010,8642
30,[00:30:21.4711904],7874,9617
31,[00:30:21.4913674],8424,9505
32,[00:30:21.5114373],7486,7728
33,[00:30:21.5314678],10140,9851
34,[00:30:21.5515399],10628,10308
35,[00:30:21.5716136],8628,8745
36,[00:30:21.5917305],7121,7724
37,[00:30:21.6118364],8381,8290
38,[00:30:21.6319173],9655,7773
39,[00:30:21.6518929],9386,8261
40,[00:30:21.6719771],9436,7868
41,[00:30:21.6920722],9588,7848
42,[00:30:21.7122442],8939,9625
43,[00:30:21.7323085],10133,7159
44,[00:30:21.7523524],10180,8759
45,[00:30:21.7724747],8962,9972
46,[00:30:21.7924945],9549,7741
47,[00:30:21.8125374],8793,9212
48,[00:30:21.8326515],9674,7358
49,[00:30:21.8527345],10027,7686
50,[00:30:21.8727779],8861,10654
51,[00:30:21.8928441],9422,8937
52,[00:30:21.9129519],9559,9066
53,[00:30:21.9336699],10171,8788
54,[00:30:21.9531289],9357,8543
55,[00:30:21.9732057],9580,8917
56,[00:30:21.9932585],10521,10235
57,[00:30:22.0133693],10446,7964
58,[00:30:22.0339698],9191,8527
59,[00:30:22.0534850],9843,8354
60,[00:30:22.0735902],9057,8753
61,[00:30:22.0936600],10109,9541
62,[00:30:22.1137052],10241,9250
63,[00:30:22.1343888],8887,9812
64,[00:30:22.1541886],9108,9996
65,[00:30:22.1750118],9992,8799
66,[00:30:22.1941071],10228,10458
67,[00:30:22.2142374],10994,10986
68,[00:30:22.2350841],10573,10638
69,[00:30:22.2543131],9020,9861
70,[00:30:22.2746485],9552,9284
71,[00:30:22.2944212],10884,8427
72,[00:30:22.3145630],9180,8953
73,[00:30:22.3347658],10784,7985
74,[00:30:22.3547291],8512,6713
75,[00:30:22.3748145],10314,10154
76,[00:30:22.3948966],9561,10109
77,[00:30:22.4149849],9617,9291
78,[00:30:22.4349951],8947,8849
79,[00:30:22.4550544],9212,8681
80,[00:30:22.4751740],10843,8677
81,[00:30:22.4952646],9998,8802
82,[00:30:22.5155190],9833,11531
83,[00:30:22.5353346],9660,7133
84,[00:30:22.5554811],8868,8467
85,[00:30:22.5755626],8768,7633
86,[00:30:22.5956683],9287,8827
87,[00:30:22.6157332],8854,9931
88,[00:30:22.6357484],9345,11413
89,[00:30:22.6558142],8889,8363
90,[00:30:22.6759905],9396,10060
91,[00:30:22.6960263],9180,8361
92,[00:30:22.7165765],8547,8244
93,[00:30:22.7362629],8936,7991
94,[00:30:22.7562880],8915,8520
95,[00:30:22.7762491],8344,10067
96,[00:30:22.7963912],9647,10263
97,[00:30:22.8164504],10618,9966
98,[00:30:22.8365014],8128,9413
99,[00:30:22.8567112],8002,9222
100,[00:30:22.8766937],9240,9927
101,[00:30:22.8967050],9748,9217
102,[00:30:22.9168256],9329,9576
103,[00:30:22.9368130],9039,9036
104,[00:30:22.9569059],8999,8591
105,[00:30:22.9770588],10172,9065
106,[00:30:22.9971851],8008,9592
107,[00:30:23.0172993],10068,9352
108,[00:30:23.0374466],9607,9136
109,[00:30:23.0574570],8436,9162
110,[00:30:23.0774849],8691,8114
111,[00:30:23.0975446],8265,10858
112,[00:30:23.1175978],8681,10213
113,[00:30:23.1377789],10253,8352
114,[00:30:23.1577458],10613,9625
115,[00:30:23.1778760],8516,10710
116,[00:30:23.1979038],9380,9169
117,[00:30:23.2179870],8257,9371
118,[00:30:23.2383106],10276,10543
119,[00:30:23.2582711],10981,8979
120,[00:30:23.2783356],9795,8692
121,[00:30:23.2983967],9081,10137
122,[00:30:23.3185249],9025,9658
123,[00:30:23.3385015],8717,9723
124,[00:30:23.3586385],8862,9247
125,[00:30:23.3786398],9535,9136
126,[00:30:23.3987877],9415,8672
127,[00:30:23.4188342],8773,8363
128,[00:30:23.4389459],9964,8593
129,[00:30:23.4589816],9748,8008
130,[00:30:23.4791016],9904,10487
131,[00:30:23.4991832],10749,9247
132,[00:30:23.5192689],9264,11488
133,[00:30:23.5393691],8566,8107
134,[00:30:23.5594263],9509,9958
135,[00:30:23.5795037],11260,10804
136,[00:30:23.5996171],9290,9166
137,[00:30:23.6197385],9971,7011
138,[00:30:23.6397500],8737,6203
139,[00:30:23.6597545],9044,9260
140,[00:30:23.6798509],7035,10218
141,[00:30:23.6999503],9636,8350
142,[00:30:23.7200171],9163,7292
143,[00:30:23.7400850],10065,8519
144,[00:30:23.7602384],7158,8191
145,[00:30:23.7802950],9378,9030
146,[00:30:23.8003947],8658,9056
147,[00:30:23.8204296],7977,8285
148,[00:30:23.8404815],9616,7790
149,[00:30:23.8605984],9733,8158
150,[00:30:23.8806784],8743,7905
151,[00:30:23.9007354],9599,8944
152,[00:30:23.9208552],8970,9368
153,[00:30:23.9408611],8371,7341
154,[00:30:23.9609684],8960,8603
155,[00:30:23.9810895],9290,11023
156,[00:30:24.0011760],9657,6957
157,[00:30:24.0211908],7946,9507
158,[00:30:24.0412935],10184,9017
159,[00:30:24.0614498],7266,9158
160,[00:30:24.0814507],8613,10234
161,[00:30:24.1016709],9278,10538
162,[00:30:24.1215931],8761,8877
163,[00:30:24.1417198],7280,8421
164,[00:30:24.1617603],10009,9086
165,[00:30:24.1819501],10057,9364
166,[00:30:24.2024879],10246,9332
167,[00:30:24.2220053],8045,9429
168,[00:30:24.2422177],7666,9057
169,[00:30:24.2621607],9329,8481
170,[00:30:24.2822408],8871,10160
171,[00:30:24.3023239],8455,8061
172,[00:30:24.3223318],7650,8435
173,[00:30:24.3424807],9309,9153
174,[00:30:24.3625315],8987,10111
175,[00:30:24.3826241],10121,9910
176,[00:30:24.4026903],10129,9328
177,[00:30:24.4227573],9740,10643
178,[00:30:24.4428812],9496,8851
179,[00:30:24.4628915],9538,8170
180,[00:30:24.4829696],10136,8921
181,[00:30:24.5030117],9689,8915
182,[00:30:24.5231518],8495,10327
183,[00:30:24.5432414],7968,7709
184,[00:30:24.5633380],9210,10721
185,[00:30:24.5833730],9590,10347
186,[00:30:24.6034745],9772,9620
187,[00:30:24.6235136],9810,11082
188,[00:30:24.6436684],9101,9111
189,[00:30:24.6637800],9043,9874
190,[00:30:24.6837839],9522,9977
191,[00:30:24.7039075],8772,10041
192,[00:30:24.7240357],10595,9816
193,[00:30:24.7440060],10065,8714
194,[00:30:24.7641481],9558,9411
195,[00:30:24.7841451],8174,10138
196,[00:30:24.8042891],7705,9387
197,[00:30:24.8243454],8406,7492
198,[00:30:24.8443905],8156,7680
199,[00:30:24.8645517],7667,10248
200,[00:30:24.8850250],8449,9398
201,[00:30:24.9047216],10352,9588
202,[00:30:24.9246794],7855,8980
203,[00:30:24.9447882],8157,9698
204,[00:30:24.9649813],8652,8111
205,[00:30:24.9851096],9802,8873
206,[00:30:25.0050860],9360,7519
207,[00:30:25.0252239],9407,7713
208,[00:30:25.0453094],8905,9584
209,[00:30:25.0654224],9726,9526
210,[00:30:25.0856682],8490,9729
211,[00:30:25.1057302],8615,9062
212,[00:30:25.1255453],9261,9184
213,[00:30:25.1458188],8312,10207
214,[00:30:25.1657468],9366,9272
215,[00:30:25.1857804],9004,8522
216,[00:30:25.2057996],9030,10151
217,[00:30:25.2258997],8959,8769
218,[00:30:25.2459559],8930,9508
219,[00:30:25.2665210],7221,8868
220,[00:30:25.2861949],8763,9381
221,[00:30:25.3062389],9302,9409
222,[00:30:25.3263593],10485,9013
223,[00:30:25.3464417],8903,10268
224,[00:30:25.3664567],8008,8492
225,[00:30:25.3865284],9429,9843
226,[00:30:25.4066806],9878,10693
227,[00:30:25.4267059],10318,7983
228,[00:30:25.4467523],9751,8894
229,[00:30:25.4668713],9388,9056
230,[00:30:25.4869217],7983,10375
231,[00:30:25.5069989],8224,7818
232,[00:30:25.5271361],8895,8251
233,[00:30:25.5472060],8204,8346
234,[00:30:25.5672726],8357,9830
235,[00:30:25.5873587],9118,9534
236,[00:30:25.6074268],9158,11644
237,[00:30:25.6275169],8348,10431
238,[00:30:25.6475920],8650,9206
239,[00:30:25.6678117],8847,9100
240,[00:30:25.6877490],8485,8968
241,[00:30:25.7078678],9082,8411
242,[00:30:25.7279159],9420,7103
243,[00:30:25.7479977],8689,10541
244,[00:30:25.7687384],9783,11104
245,[00:30:25.7882074],8738,8827
246,[00:30:25.8082213],9221,8932
247,[00:30:25.8282702],8759,9205
248,[00:30:25.8485035],8518,8605
249,[00:30:25.8684821],7735,9953
250,[00:30:25.8885407],9681,8725
251,[00:30:25.9085721],11017,8509
252,[00:30:25.9287140],9756,7937
253,[00:30:25.9487590],10159,8662
254,[00:30:25.9689021],9866,8682
255,[00:30:25.9889122],9145,11033
256,[00:30:26.0089657],9548,10619
257,[00:30:26.0290488],8951,10194
258,[00:30:26.0491508],9010,11125
259,[00:30:26.0691960],9648,9663
260,[00:30:26.0892327],8267,9597
261,[00:30:26.1094131],10897,9886
262,[00:30:26.1295091],9955,9207
263,[00:30:26.1495237],10057,9567
264,[00:30:26.1696383],9713,9341
265,[00:30:26.1897503],10052,9119
266,[00:30:26.2097609],9564,9565
267,[00:30:26.2298671],10040,10212
268,[00:30:26.2498769],10816,11017
269,[00:30:26.2700336],8496,11004
270,[00:30:26.2901400],9466,10021
271,[00:30:26.3101372],9038,8964
272,[00:30:26.3302581],8191,10526
273,[00:30:26.3508572],8838,9229
274,[00:30:26.3705117],10036,8092
275,[00:30:26.3904694],9267,8601
276,[00:30:26.4105697],8918,9946
277,[00:30:26.4306788],9439,10814
278,[00:30:26.4507450],7973,9876
279,[00:30:26.4707875],7911,11598
280,[00:30:26.4908673],11189,8516
281,[00:30:26.5110060],9682,9684
282,[00:30:26.5309603],10050,8849
283,[00:30:26.5511839],9030,11229
284,[00:30:26.5711810],8063,9706
285,[00:30:26.5912502],9852,9418
286,[00:30:26.6113398],7983,9572
287,[00:30:26.6314869],9654,10552
288,[00:30:26.6514514],9390,10569
289,[00:30:26.6715517],6770,9750
290,[00:30:26.6916642],9873,9939
291,[00:30:26.7116695],10301,8385
292,[00:30:26.7317976],8926,11524
293,[00:30:26.7518012],9372,9855
294,[00:30:26.7719901],8950,7538
295,[00:30:26.7921596],9241,10351
296,[00:30:26.8122020],10083,9566
297,[00:30:26.8322663],9142,9743
298,[00:30:26.8523325],7825,8642
299,[00:30:26.8724258],8064,9574
300,[00:30:26.8924587],8697,10725
301,[00:30:26.9125914],7539,9428
302,[00:30:26.9326593],9654,10944
303,[00:30:26.9527737],9396,10513
304,[00:30:26.9728370],9660,10726
305,[00:30:26.9928489],8807,9014
306,[00:30:27.0129231],9921,11530
