Predicted duration,0.52,,,
Predicted error,0.2,,,
Predicted start,00:22:05,,,
Notes,none,,,
FrameNum,timeInfo,signal-target,signal-track1
0,[00:21:45.1537860],40530,358564
1,[00:21:45.2047486],42161,359692
2,[00:21:45.2568083],41507,352898
3,[00:21:45.3080373],37939,368411
4,[00:21:45.3551811],39633,361492
5,[00:21:45.4060785],38605,354656
6,[00:21:45.4555685],41236,354391
7,[00:21:45.5060280],39882,377677
8,[00:21:45.5552901],41712,356484
9,[00:21:45.6056132],40369,364306
10,[00:21:45.6550860],44029,374559
11,[00:21:45.7058492],39047,366334
12,[00:21:45.7560493],39228,362698
13,[00:21:45.8057996],43419,350895
14,[00:21:45.8558937],38677,352138
15,[00:21:45.9058368],39337,366714
16,[00:21:45.9559219],40379,357832
17,[00:21:46.0055298],40160,369570
18,[00:21:46.0559394],42398,370534
19,[00:21:46.1062035],39333,344075
20,[00:21:46.1559946],42076,363996
21,[00:21:46.2063640],39084,363842
22,[00:21:46.2563595],40863,364258
23,[00:21:46.3066199],40033,350410
24,[00:21:46.3564091],40723,367706
25,[00:21:46.4066420],34265,368981
26,[00:21:46.4568460],36649,371330
27,[00:21:46.5084100],41409,362425
28,[00:21:46.5594185],39991,380449
29,[00:21:46.6086695],36816,363289
30,[00:21:46.6595416],39530,355807
31,[00:21:46.7090262],36026,369210
32,[00:21:46.7571319],37038,358601
33,[00:21:46.8086021],40459,358773
34,[00:21:46.8575011],39712,346093
35,[00:21:46.9070075],35535,359369
36,[00:21:46.9576044],39176,356113
37,[00:21:47.0077599],38614,360696
38,[00:21:47.0580028],39055,365387
39,[00:21:47.1092850],38525,381709
40,[00:21:47.1577917],41105,363311
41,[00:21:47.2077759],40602,347409
42,[00:21:47.2576264],36971,352360
43,[00:21:47.3066527],33588,356693
44,[00:21:47.3571875],36558,348567
45,[00:21:47.4070792],36947,342923
46,[00:21:47.4574072],39017,348512
47,[00:21:47.5085829],37705,356699
48,[00:21:47.5579176],37213,342772
49,[00:21:47.6078519],37990,349342
50,[00:21:47.6578210],35925,341049
51,[00:21:47.7079264],34375,334405
52,[00:21:47.7589995],36380,355809
53,[00:21:47.8076460],30917,339793
54,[00:21:47.8577408],37001,345831
55,[00:21:47.9089525],37568,339472
56,[00:21:47.9609797],35062,347311
57,[00:21:48.0088012],35572,338256
58,[00:21:48.0604419],37645,343195
59,[00:21:48.1079701],33678,354982
60,[00:21:48.1584928],39512,346895
61,[00:21:48.2083602],37599,345031
