Predicted duration,1.3,,,
Predicted error,0.6,,,
Predicted start,02:16:08,,,
Notes,starts from frame 1 and first ~100 frames are 'dropped frames'. incorrect data because the cpu was overloaded,,,
FrameNum,timeInfo,signal-target,signal-track1
1,[02:15:36.9756224],25000,1049992
2,[02:15:37.0780306],27455,1089882
3,[02:15:37.1759382],20914,1135399
4,[02:15:37.2746459],23163,1117520
5,[02:15:37.3752011],27694,1115780
6,[02:15:37.4752789],20642,1147980
7,[02:15:37.5754565],22230,1081748
8,[02:15:37.6752602],24594,1107748
9,[02:15:37.7750156],23900,1108690
10,[02:15:37.8754421],25153,1078644
11,[02:15:37.9756504],23918,1089532
12,[02:15:38.0763665],25343,1102721
13,[02:15:38.1773082],26588,1083769
14,[02:15:38.2765196],26693,1130601
15,[02:15:38.3765675],25711,1075479
16,[02:15:38.4765994],26822,1134858
17,[02:15:38.5763058],22521,1123120
18,[02:15:38.6760943],20505,1123986
19,[02:15:38.7759831],23889,1089282
20,[02:15:38.8765776],23771,1114948
21,[02:15:38.9760133],24174,1095108
22,[02:15:39.0759841],25706,1120683
23,[02:15:39.1775293],26290,1165086
24,[02:15:39.2763137],27410,1093348
25,[02:15:39.3771135],25815,1093321
26,[02:15:39.4762846],28207,1077440
27,[02:15:39.5764854],24525,1102483
28,[02:15:39.6773738],24351,1160601
29,[02:15:39.7767083],25865,1125812
30,[02:15:39.8775602],26003,1141718
31,[02:15:39.9774674],25951,1132111
32,[02:15:40.0766193],27277,1074777
33,[02:15:40.1778588],23142,1121538
34,[02:15:40.2769071],24467,1129411
35,[02:15:40.3770771],26039,1072042
36,[02:15:40.4775027],26391,1115875
37,[02:15:40.5772229],27236,1061085
38,[02:15:40.6777648],26261,1109958
39,[02:15:40.7776824],23888,1143421
40,[02:15:40.8775492],25119,1081950
41,[02:15:40.9778230],23808,1132832
42,[02:15:41.0808055],23127,1097041
43,[02:15:41.1801228],24728,1105794
44,[02:15:41.2786640],24017,1081861
45,[02:15:41.3790989],23836,1122228
46,[02:15:41.4794129],21440,1103931
47,[02:15:41.5779202],24866,1143571
48,[02:15:41.6805134],24251,1148912
49,[02:15:41.7791412],21752,1075843
50,[02:15:41.8794130],27332,1096987
51,[02:15:41.9801612],24976,1085440
52,[02:15:42.0801153],26590,1138299
53,[02:15:42.1785326],26885,1096832
54,[02:15:42.2785143],31021,1113430
55,[02:15:42.3784573],28507,1116896
56,[02:15:42.4786710],27227,1138991
57,[02:15:42.5786968],24925,1136968
58,[02:15:42.6785836],25782,1101712
59,[02:15:42.7796047],24327,1087574
60,[02:15:42.8791473],24291,1133287
61,[02:15:42.9805475],22806,1046526
62,[02:15:43.0795249],24305,1125075
63,[02:15:43.1789014],22678,1107057
64,[02:15:43.2812388],25698,1137788
65,[02:15:43.3792308],23258,1107697
66,[02:15:43.4808961],20854,1071281
67,[02:15:43.5803116],20590,1113669
68,[02:15:43.6793110],24334,1091899
69,[02:15:43.7820633],23242,1156504
70,[02:15:43.8796395],23759,1118530
71,[02:15:43.9800162],21021,1106868
72,[02:15:44.0814944],25934,1118611
73,[02:15:44.1797872],23866,1107923
74,[02:15:44.2820963],19086,1070082
75,[02:15:44.3801716],19648,1147712
76,[02:15:44.4802796],22421,1078484
77,[02:15:44.5843343],23839,1092342
78,[02:15:44.6818345],21319,1123011
79,[02:15:44.7829298],19588,1085799
80,[02:15:44.8818433],20721,1100919
81,[02:15:44.9808488],20506,1106257
82,[02:15:45.0830427],21261,1076729
83,[02:15:45.1815193],21781,1107444
84,[02:15:45.2814075],21282,1091788
85,[02:15:45.3833184],16991,1082028
86,[02:15:45.4815109],21105,1105088
87,[02:15:45.5837569],21513,1101544
88,[02:15:45.6812270],19888,1137436
89,[02:15:45.7816311],17949,1164622
90,[02:15:45.8817675],21832,1135507
91,[02:15:45.9810505],24572,1116086
92,[02:15:46.0820378],21236,1142021
93,[02:15:46.1812400],21473,1108693
94,[02:15:46.2814612],23255,1071342
95,[02:15:46.3829962],24974,1073384
96,[02:15:46.4822703],28361,1083403
97,[02:15:46.5830668],25689,1051543
98,[02:15:46.6817260],25130,1096629
99,[02:15:46.7836514],29479,1154379
100,[02:15:46.8850152],25338,1130603
101,[02:15:46.9818527],25313,1158621
102,[02:15:47.0830231],23233,1163466
103,[02:15:47.1826396],25590,1104798
104,[02:15:47.2829070],21471,1062883
105,[02:15:47.3830405],22523,1076966
106,[02:15:47.4825157],22795,1124065
107,[02:15:47.5838822],26158,1132186
108,[02:15:47.6822825],25219,1163131
109,[02:15:47.7823919],23870,1091771
110,[02:15:47.8851766],27649,1113952
111,[02:15:47.9824703],29375,1097622
112,[02:15:48.0831314],23890,1137521
113,[02:15:48.1838527],22789,1161560
114,[02:15:48.2837643],27531,1108237
115,[02:15:48.3846200],24191,1149926
116,[02:15:48.4837476],25040,1110400
117,[02:15:48.5845603],23390,1145508
