Predicted duration,22.4,,,
Predicted error,0.7,,,
Predicted start,03:56:57,,,
Notes,none,,,
FrameNum,timeInfo,signal-target,signal-track1,signal-track2
0,[03:56:27.9042646],13172,44837,5429
1,[03:56:27.9244419],11562,43586,5767
2,[03:56:27.9444401],17190,44118,5057
3,[03:56:27.9661478],16487,42531,5405
4,[03:56:27.9860367],14547,45752,6388
5,[03:56:28.0047751],13211,46305,6632
6,[03:56:28.0248278],12357,43494,5483
7,[03:56:28.0450762],13003,49168,3279
8,[03:56:28.0648974],13954,46832,6440
9,[03:56:28.0850295],14797,47114,5375
10,[03:56:28.1062123],16147,45236,5242
11,[03:56:28.1251909],18429,44445,7746
12,[03:56:28.1452459],15659,42647,6446
13,[03:56:28.1653383],13881,49811,5921
14,[03:56:28.1852757],12870,46666,2260
15,[03:56:28.2054049],13732,48328,2319
16,[03:56:28.2256524],14660,46723,2896
17,[03:56:28.2456569],17184,46533,2804
18,[03:56:28.2657100],10841,45585,2857
19,[03:56:28.2858381],14265,44888,4384
20,[03:56:28.3058971],11843,45662,5777
21,[03:56:28.3261197],14516,47449,2961
22,[03:56:28.3461544],12797,44456,4688
23,[03:56:28.3661067],14427,45000,2402
24,[03:56:28.3862029],13975,47505,4809
25,[03:56:28.4062554],11979,48104,2691
26,[03:56:28.4261705],12115,46829,4721
27,[03:56:28.4465055],16139,43198,5539
28,[03:56:28.4665462],14440,43826,3969
29,[03:56:28.4866309],14755,47851,3985
30,[03:56:28.5066745],12895,44280,5135
31,[03:56:28.5267237],13836,45648,4422
32,[03:56:28.5469232],14455,43732,5221
33,[03:56:28.5669259],11689,44841,2029
34,[03:56:28.5870492],11373,38007,4136
35,[03:56:28.6071195],11151,42969,4939
36,[03:56:28.6272618],10110,43893,1849
37,[03:56:28.6475723],7803,45068,3797
38,[03:56:28.6673251],8747,41283,3904
39,[03:56:28.6873631],11091,47541,2410
40,[03:56:28.7075003],13208,48729,3831
41,[03:56:28.7275327],12990,42216,4131
42,[03:56:28.7476415],11487,43067,3995
43,[03:56:28.7676724],11511,46941,4073
44,[03:56:28.7877750],11413,46792,3516
45,[03:56:28.8078333],9041,46479,4738
46,[03:56:28.8278286],11514,44176,4390
47,[03:56:28.8479661],10824,45814,4053
48,[03:56:28.8680121],10558,46712,3995
49,[03:56:28.8880770],10340,44561,3907
50,[03:56:28.9083235],10974,45611,4725
51,[03:56:28.9283479],9455,46475,4183
52,[03:56:28.9484010],12957,42335,2406
53,[03:56:28.9683828],7516,43695,3735
54,[03:56:28.9885072],8799,44190,4379
55,[03:56:29.0086282],8306,44867,3811
56,[03:56:29.0285881],10295,48434,4418
57,[03:56:29.0487401],13254,53404,4117
