Predicted duration,5.0,,,
Predicted error,3.8,,,
Predicted start,04:57:35,,,
Notes,none,,,
FrameNum,timeInfo,signal-target,signal-track1,signal-track2
0,[04:55:45.7156573],9072,285454,140736
1,[04:55:45.8657517],11169,280561,152358
2,[04:55:46.0158461],12809,252003,103079
3,[04:55:46.1659405],4329,340479,89032
4,[04:55:46.3160349],11194,356012,118983
5,[04:55:46.4661293],3941,292470,139689
6,[04:55:46.6162237],7353,258027,146542
7,[04:55:46.7663181],5366,295782,113420
8,[04:55:46.9164125],5535,352647,114116
9,[04:55:47.0665068],12804,308474,117509
10,[04:55:47.2166012],13884,261907,161562
11,[04:55:47.3666956],11314,325822,129577
12,[04:55:47.5167900],5899,239066,135576
13,[04:55:47.6668844],6215,315354,121008
14,[04:55:47.8169788],7202,272883,136515
15,[04:55:47.9670732],9639,236231,112758
16,[04:55:48.1171676],8965,261457,115699
17,[04:55:48.2672620],11483,291893,130179
18,[04:55:48.4173564],8360,341525,152206
19,[04:55:48.5674508],3304,224885,126114
20,[04:55:48.7175452],5434,252506,130405
21,[04:55:48.8676396],7422,323270,142420
22,[04:55:49.0177339],4819,367101,92751
23,[04:55:49.1678283],9926,307780,111301
24,[04:55:49.3179227],10007,237580,110228
25,[04:55:49.4680171],6280,271788,116035
26,[04:55:49.6181115],8521,292906,165334
27,[04:55:49.7682059],9627,338772,107416
28,[04:55:49.9183003],4456,329458,97614
29,[04:55:50.0683946],10143,336032,122183
30,[04:55:50.2184890],10371,261262,133159
31,[04:55:50.3685835],6968,322367,120776
32,[04:55:50.5186779],8798,276240,128628
33,[04:55:50.6687723],6097,257097,123662
34,[04:55:50.8188667],11458,282952,107984
35,[04:55:50.9689611],6970,398322,100214
36,[04:55:51.1190554],7656,329375,135709
37,[04:55:51.2691498],5334,366613,137032
38,[04:55:51.4192442],10173,333273,126534
39,[04:55:51.5693386],8054,334508,114002
40,[04:55:51.7194330],7596,365940,117577
41,[04:55:51.8695274],9896,280091,131355
42,[04:55:52.0196217],6370,301114,109391
43,[04:55:52.1697161],6201,381471,75490
44,[04:55:52.3198105],11209,309761,101630
45,[04:55:52.4699049],8987,315482,146445
46,[04:55:52.6199993],6744,307348,113436
47,[04:55:52.7700938],6960,260666,107955
48,[04:55:52.9201882],7109,270470,94033
49,[04:55:53.0702825],8211,276893,129703
50,[04:55:53.2203769],3229,299132,134402
51,[04:55:53.3704713],10845,310149,166480
52,[04:55:53.5205657],9419,245125,91567
53,[04:55:53.6706601],2914,340435,135750
54,[04:55:53.8207545],11127,295076,107207
55,[04:55:53.9708489],13153,358933,135311
56,[04:55:54.1209432],6392,367593,101414
57,[04:55:54.2710376],7380,292935,84391
58,[04:55:54.4211320],10616,311317,97313
59,[04:55:54.5712264],9442,276380,98140
60,[04:55:54.7213208],7217,352209,109792
61,[04:55:54.8714152],4979,330686,104502
62,[04:55:55.0215096],11389,302095,83393
63,[04:55:55.1716040],4786,323806,81775
64,[04:55:55.3216985],8658,207867,112087
65,[04:55:55.4717929],2349,252700,84458
66,[04:55:55.6218873],3746,202599,119475
67,[04:55:55.7719817],10299,319171,97776
