Predicted duration,5.0,,,
Predicted error,3.8,,,
Predicted start,04:57:35,,,
Notes,starts from frame 92,,,
FrameNum,timeInfo,signal-target,signal-track1,signal-track2
92,[04:56:19.4106927],3292,23455,255851
93,[04:56:19.8096803],3259,18686,231843
94,[04:56:20.2111290],1190,22037,239529
95,[04:56:20.6097080],1259,18199,251124
96,[04:56:21.0108951],2024,23381,194128
97,[04:56:21.4108801],453,22089,182391
98,[04:56:21.8111332],1989,10724,204715
99,[04:56:22.2110947],1152,11266,246322
100,[04:56:22.6115784],2677,13060,175249
101,[04:56:23.0116553],3236,7429,249929
102,[04:56:23.4116155],1916,10856,201449
103,[04:56:23.8117309],3867,29840,225301
104,[04:56:24.2115478],2054,25138,257025
105,[04:56:24.6105887],2145,10937,181513
106,[04:56:25.0124573],1082,9636,233953
107,[04:56:25.4111822],1458,7157,201859
108,[04:56:25.8124139],692,10284,229641
109,[04:56:26.2130121],2327,7641,220126
110,[04:56:26.6125712],1436,8115,154431
111,[04:56:27.0119575],785,16221,143918
112,[04:56:27.4127629],859,14875,129473
113,[04:56:27.8122059],986,15148,203241
114,[04:56:28.2125496],1511,21592,132868
115,[04:56:28.6124797],2131,19516,148729
116,[04:56:29.0128793],998,16898,154689
117,[04:56:29.4124454],1448,17141,234046
118,[04:56:29.8128924],1246,18893,191845
119,[04:56:30.2134765],-303,21845,166939
120,[04:56:30.6130597],1562,19861,236013
121,[04:56:31.0129152],1544,20325,207119
122,[04:56:31.4128960],1681,22468,185400
123,[04:56:31.8129844],3028,22780,215888
124,[04:56:32.2134931],1762,16335,198506
125,[04:56:32.6132483],1072,19267,173778
126,[04:56:33.0125070],1175,24108,208587
127,[04:56:33.4130134],1756,9208,226166
128,[04:56:33.8131230],1794,19182,201695
129,[04:56:34.2133894],1712,8279,237228
130,[04:56:34.6138786],1557,22178,239927
131,[04:56:35.0139393],1602,7552,219457
132,[04:56:35.4139943],2491,33975,224010
133,[04:56:35.8145668],1681,13203,212193
134,[04:56:36.2138762],2293,8428,201672
135,[04:56:36.6141044],1869,41686,251028
136,[04:56:37.0144581],692,20851,230175
137,[04:56:37.4140805],1327,31637,225205
138,[04:56:37.8144395],2745,24292,243288
139,[04:56:38.2144265],1580,23232,184184
140,[04:56:38.6147860],1325,20305,219172
141,[04:56:39.0148571],2004,20224,225225
142,[04:56:39.4145992],1355,20879,213659
143,[04:56:39.8147884],1719,24004,217075
144,[04:56:40.2150078],698,22826,266713
145,[04:56:40.6153450],804,8288,228320
146,[04:56:41.0153160],3371,28385,231826
147,[04:56:41.4151143],2741,29341,200485
148,[04:56:41.8150983],2588,15048,169396
149,[04:56:42.2148734],2976,20473,223863
150,[04:56:42.6151279],2657,23459,205735
151,[04:56:43.0157154],1246,12939,237358
152,[04:56:43.4152029],462,9134,224384
153,[04:56:43.8153856],1282,19473,176158
154,[04:56:44.2160129],1383,20104,189889
155,[04:56:44.6155239],2887,21293,220710
156,[04:56:45.0145187],672,19529,226114
157,[04:56:45.4160170],1946,10097,211029
158,[04:56:45.8161192],3350,21293,190847
159,[04:56:46.2162877],2204,8208,194532
