Predicted duration,14.6,,,
Predicted error,1.2,,,
Predicted start,01:44:06,,,
Notes,none,,,
FrameNum,timeInfo,signal-target,signal-track1,signal-track2
0,[01:43:36.1564729],23034,25015,9477
1,[01:43:36.2061718],21170,23940,6326
2,[01:43:36.2563118],23914,25048,7655
3,[01:43:36.3062312],22943,23759,8517
4,[01:43:36.3561493],22531,24010,7976
5,[01:43:36.4064160],22784,22747,7975
6,[01:43:36.4562443],24578,23885,10986
7,[01:43:36.5063764],23860,26621,7774
8,[01:43:36.5564186],25223,24287,9789
9,[01:43:36.6069810],25894,24141,9763
10,[01:43:36.6566287],25785,24788,7713
11,[01:43:36.7066940],20623,20717,8942
12,[01:43:36.7570687],21189,28321,7334
13,[01:43:36.8067895],22177,23460,9294
14,[01:43:36.8571923],22126,22059,6959
15,[01:43:36.9072198],21668,23134,6964
16,[01:43:36.9573020],25174,16960,6223
17,[01:43:37.0076387],23922,25194,10668
18,[01:43:37.0577477],27758,21121,9005
19,[01:43:37.1080268],22883,20468,10294
20,[01:43:37.1577690],24814,21779,8760
21,[01:43:37.2076173],22972,23302,9027
22,[01:43:37.2578952],21276,24922,9108
23,[01:43:37.3077908],24560,22525,5012
24,[01:43:37.3581235],23388,25159,9631
25,[01:43:37.4080871],22325,22670,11098
26,[01:43:37.4581583],25271,23050,7093
27,[01:43:37.5082332],25475,24458,10871
28,[01:43:37.5585866],22113,21289,8309
29,[01:43:37.6085296],23223,21130,10267
30,[01:43:37.6586201],23340,22285,8046
31,[01:43:37.7086299],22400,20699,9677
32,[01:43:37.7585992],21963,20871,9271
33,[01:43:37.8085688],27742,21158,7634
34,[01:43:37.8590618],23668,20756,7685
35,[01:43:37.9090844],20580,24342,9440
36,[01:43:37.9588128],25711,20572,8204
37,[01:43:38.0088779],21298,18327,10491
38,[01:43:38.0590817],21926,21932,8366
39,[01:43:38.1095599],24664,18328,8224
40,[01:43:38.1594877],24445,21622,9278
41,[01:43:38.2095736],26350,19554,6443
42,[01:43:38.2600435],20092,19168,9578
43,[01:43:38.3095103],20686,20740,7637
44,[01:43:38.3593406],19289,18558,10182
45,[01:43:38.4094138],22382,22393,8168
46,[01:43:38.4601376],24981,23282,8712
47,[01:43:38.5100725],23521,21947,9761
48,[01:43:38.5600225],25052,20176,7955
49,[01:43:38.6098227],23177,23667,5526
50,[01:43:38.6597485],22718,21780,7538
51,[01:43:38.7101034],22730,17613,7242
52,[01:43:38.7601085],20827,19048,8248
53,[01:43:38.8103688],23946,22246,9401
54,[01:43:38.8600846],25042,22415,8007
55,[01:43:38.9107502],28808,27008,9486
56,[01:43:38.9603850],17301,22477,10045
57,[01:43:39.0102361],22139,22233,10738
58,[01:43:39.0604937],23716,21732,8704
59,[01:43:39.1108746],19725,19564,9117
60,[01:43:39.1609112],23172,23116,7983
61,[01:43:39.2108455],23267,17579,8651
62,[01:43:39.2614122],26030,20244,8549
63,[01:43:39.3111298],22384,17519,6992
64,[01:43:39.3609450],21623,22809,6603
65,[01:43:39.4107524],23565,21270,8194
66,[01:43:39.4609964],25609,19562,7152
67,[01:43:39.5109100],22736,19844,7245
68,[01:43:39.5611846],22771,21237,5224
69,[01:43:39.6112027],22714,19919,8420
70,[01:43:39.6613464],19097,18866,4125
71,[01:43:39.7115483],21225,16603,6594
