Predicted duration,1.4,,,
Predicted error,5.9,,,
Predicted start,00:48:20,,,
Notes,none,,,
FrameNum,timeInfo,signal-target,signal-track1,signal-track2
0,[00:46:22.8954929],73,45,32
1,[00:46:22.9964059],69,76,73
2,[00:46:23.0956173],64,74,66
3,[00:46:23.1968135],63,60,61
4,[00:46:23.2954192],71,65,80
5,[00:46:23.3956706],63,74,41
6,[00:46:23.4958100],62,42,55
7,[00:46:23.5962271],61,84,61
8,[00:46:23.6956233],52,89,77
9,[00:46:23.7969411],41,67,42
10,[00:46:23.8960491],68,41,39
11,[00:46:23.9961695],64,50,60
12,[00:46:24.0969176],56,87,67
13,[00:46:24.1978910],57,89,67
14,[00:46:24.2977286],80,87,73
15,[00:46:24.3965093],60,71,65
16,[00:46:24.4968448],66,64,64
17,[00:46:24.5975286],90,58,76
18,[00:46:24.6965080],33,38,72
19,[00:46:24.7973334],68,62,63
20,[00:46:24.8966968],69,43,70
21,[00:46:24.9974188],41,65,62
22,[00:46:25.0969068],77,58,67
23,[00:46:25.1974984],66,66,66
24,[00:46:25.2983573],54,80,60
25,[00:46:25.3970846],55,76,76
26,[00:46:25.4985930],71,60,57
27,[00:46:25.5973636],71,73,31
28,[00:46:25.6990198],48,74,65
29,[00:46:25.7972441],40,69,73
30,[00:46:25.8976912],42,61,60
31,[00:46:25.9975115],44,69,59
32,[00:46:26.0974141],70,71,70
33,[00:46:26.1990822],78,69,76
34,[00:46:26.2983999],55,58,53
35,[00:46:26.3991688],67,75,67
36,[00:46:26.4986087],61,69,75
37,[00:46:26.5979187],67,29,66
38,[00:46:26.6981169],54,47,57
39,[00:46:26.7982255],52,51,57
40,[00:46:26.8982826],68,46,61
41,[00:46:26.9987333],35,59,69
42,[00:46:27.0990677],76,40,74
43,[00:46:27.1985723],70,47,62
44,[00:46:27.2991332],73,72,53
45,[00:46:27.3992043],38,76,74
46,[00:46:27.4990461],57,63,46
47,[00:46:27.5992026],50,79,71
48,[00:46:27.6992968],48,68,68
49,[00:46:27.7991147],66,80,70
50,[00:46:27.8991355],64,62,77
51,[00:46:27.9992838],43,68,62
52,[00:46:28.0993386],51,58,50
53,[00:46:28.1989966],54,56,59
54,[00:46:28.2993031],62,26,59
55,[00:46:28.3996609],53,38,63
56,[00:46:28.4993380],75,36,64
57,[00:46:28.5995405],70,71,66
58,[00:46:28.6997019],77,56,61
59,[00:46:28.8019380],69,30,61
60,[00:46:28.8996058],74,39,66
61,[00:46:28.9997451],1,25,40
62,[00:46:29.1015565],24,59,65
63,[00:46:29.1998935],26,67,34
64,[00:46:29.3004575],46,36,56
65,[00:46:29.4001723],44,41,59
66,[00:46:29.5001390],43,34,53
67,[00:46:29.6021201],34,65,72
68,[00:46:29.7001603],63,75,35
69,[00:46:29.8025267],73,69,48
70,[00:46:29.9004844],64,81,64
71,[00:46:30.0019866],61,32,56
72,[00:46:30.1006128],65,29,67
73,[00:46:30.2027470],47,57,74
74,[00:46:30.3018896],72,53,49
75,[00:46:30.4008365],79,77,66
76,[00:46:30.5014442],72,49,33
77,[00:46:30.6014519],73,53,62
78,[00:46:30.7010631],30,53,75
79,[00:46:30.8011537],64,35,70
80,[00:46:30.9026284],34,34,67
81,[00:46:31.0015076],74,60,71
82,[00:46:31.1019301],76,60,42
83,[00:46:31.2014267],62,74,50
84,[00:46:31.3015777],45,78,69
85,[00:46:31.4019816],42,68,66
86,[00:46:31.5015892],44,64,65
87,[00:46:31.6034164],24,70,75
88,[00:46:31.7020980],63,75,74
89,[00:46:31.8029000],59,85,62
90,[00:46:31.9017864],67,74,60
91,[00:46:32.0021293],51,67,63
92,[00:46:32.1038892],67,63,76
93,[00:46:32.2021413],60,71,46
94,[00:46:32.3032689],71,29,60
95,[00:46:32.4032850],49,63,43
96,[00:46:32.5022475],14,62,35
97,[00:46:32.6024234],66,41,72
98,[00:46:32.7029988],73,54,62
99,[00:46:32.8027724],62,68,78
100,[00:46:32.9037436],63,67,75
101,[00:46:33.0028131],81,76,67
102,[00:46:33.1028047],71,84,60
103,[00:46:33.2040611],59,34,70
104,[00:46:33.3036574],60,60,70
105,[00:46:33.4032102],63,67,76
106,[00:46:33.5042031],36,87,67
