Predicted duration,0.6,,,
Predicted error,1.8,,,
Predicted start,00:57:44,,,
Notes,none,,,
FrameNum,timeInfo,signal-target,signal-track1,signal-track2
0,[00:56:40.9250036],7542,55414,32291
1,[00:56:41.0022810],10452,52776,35112
2,[00:56:41.0763748],10002,56060,25387
3,[00:56:41.1536586],9705,53952,31787
4,[00:56:41.2257648],8316,48636,29844
5,[00:56:41.3007835],9390,54315,33675
6,[00:56:41.3770639],8667,50598,31307
7,[00:56:41.4501488],9281,50106,33901
8,[00:56:41.5254855],8466,46765,32337
9,[00:56:41.6004195],9041,51072,30971
10,[00:56:41.6759391],11913,48081,33219
11,[00:56:41.7506061],10875,48163,31640
12,[00:56:41.8256251],6578,51704,25080
13,[00:56:41.9009165],10689,54985,27969
14,[00:56:41.9763543],10357,52512,32519
15,[00:56:42.0510987],9373,47625,31834
16,[00:56:42.1270356],7074,56743,25240
17,[00:56:42.2023784],11690,43990,27589
18,[00:56:42.2792255],8536,47603,28102
19,[00:56:42.3519956],8433,50824,30991
20,[00:56:42.4268514],8489,50589,32839
21,[00:56:42.5017436],9595,48345,30625
22,[00:56:42.5770542],9014,50893,30933
23,[00:56:42.6513774],11909,50948,27812
24,[00:56:42.7278446],12514,47239,31384
25,[00:56:42.8015962],9637,52173,28303
26,[00:56:42.8780757],9774,53313,36027
27,[00:56:42.9517311],11956,57956,31389
28,[00:56:43.0267155],9555,50832,30670
29,[00:56:43.1019982],11399,51135,31340
30,[00:56:43.1778575],9428,53233,31036
31,[00:56:43.2518397],8022,57158,27537
32,[00:56:43.3270010],10656,48827,34056
33,[00:56:43.4022984],12072,55268,32630
34,[00:56:43.4773485],10385,48194,33976
35,[00:56:43.5521427],11024,47283,32468
36,[00:56:43.6282893],9374,51995,31019
37,[00:56:43.7028841],9468,51114,30900
38,[00:56:43.7778362],12235,50788,30687
39,[00:56:43.8524777],9524,49454,33113
40,[00:56:43.9285852],9991,51756,32951
41,[00:56:44.0030381],12027,48542,33063
42,[00:56:44.0779091],10881,52777,30241
43,[00:56:44.1531006],9209,49701,31516
44,[00:56:44.2278711],9110,51178,27642
45,[00:56:44.3033709],9649,50538,34995
46,[00:56:44.3790936],8632,51137,33325
47,[00:56:44.4531753],9878,52367,36267
48,[00:56:44.5282018],10419,49913,31726
49,[00:56:44.6038457],10973,51261,30575
50,[00:56:44.6787781],7088,50041,26996
51,[00:56:44.7545762],10000,51182,31415
52,[00:56:44.8296660],10594,50797,30553
53,[00:56:44.9040133],10959,50846,34678
54,[00:56:44.9789215],10195,49270,33144
55,[00:56:45.0559745],9637,54452,30093
56,[00:56:45.1331394],10184,55459,31082
57,[00:56:45.2052856],12319,52220,31666
58,[00:56:45.2804456],9054,49732,32232
59,[00:56:45.3552452],11202,50631,32073
60,[00:56:45.4302000],10495,52934,34692
